code,name
000001,平安银行
000002,万  科Ａ
000006,深振业Ａ
000009,中国宝安
000012,南  玻Ａ
000027,深圳能源
000028,国药一致
000031,中粮地产
000039,中集集团
000043,中航地产
000046,泛海控股
000049,德赛电池
000050,深天马Ａ
000060,中金岭南
000061,农 产 品
000062,深圳华强
000063,中兴通讯
000069,华侨城Ａ
000078,海王生物
000088,盐 田 港
000089,深圳机场
000099,中信海直
000100,TCL 集团
000151,中成股份
000156,华数传媒
000157,中联重科
000333,美的集团
000338,潍柴动力
000400,许继电气
000401,冀东水泥
000402,金 融 街
000410,沈阳机床
000413,东旭光电
000415,渤海金控
000417,合肥百货
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000426,兴业矿业
000501,鄂武商Ａ
000503,海虹控股
000506,中润资源
000513,丽珠集团
000516,国际医学
000525,红 太 阳
000528,柳    工
000536,华映科技
000537,广宇发展
000538,云南白药
000539,粤电力Ａ
000540,中天城投
000541,佛山照明
000543,皖能电力
000550,江铃汽车
000551,创元科技
000552,靖远煤电
000554,泰山石油
000559,万向钱潮
000563,陕国投Ａ
000566,海南海药
000568,泸州老窖
000572,海马汽车
000581,威孚高科
000592,平潭发展
000596,古井贡酒
000598,兴蓉环境
000607,华媒控股
000616,海航投资
000623,吉林敖东
000625,长安汽车
000630,铜陵有色
000631,顺发恒业
000650,仁和药业
000651,格力电器
000655,金岭矿业
000661,长春高新
000667,美好集团
000671,阳 光 城
000680,山推股份
000685,中山公用
000686,东北证券
000690,宝新能源
000697,炼石有色
000709,河钢股份
000712,锦龙股份
000718,苏宁环球
000725,京东方Ａ
000728,国元证券
000729,燕京啤酒
000731,四川美丰
000732,泰禾集团
000738,中航动控
000739,普洛药业
000748,长城信息
000750,国海证券
000758,中色股份
000761,本钢板材
000762,西藏矿业
000768,中航飞机
000776,广发证券
000777,中核科技
000778,新兴铸管
000780,平庄能源
000783,长江证券
000786,北新建材
000788,北大医药
000789,万年青
000790,泰合健康
000792,盐湖股份
000793,华闻传媒
000800,一汽轿车
000801,四川九洲
000807,云铝股份
000811,烟台冰轮
000812,陕西金叶
000816,智慧农业
000823,超声电子
000825,太钢不锈
000826,启迪桑德
000829,天音控股
000830,鲁西化工
000839,中信国安
000848,承德露露
000851,高鸿股份
000858,五 粮 液
000860,顺鑫农业
000868,安凯客车
000869,张  裕Ａ
000876,新 希 望
000877,天山股份
000878,云南铜业
000883,湖北能源
000887,中鼎股份
000895,双汇发展
000897,津滨发展
000898,鞍钢股份
000901,航天科技
000905,厦门港务
000915,山大华特
000917,电广传媒
000921,海信科龙
000926,福星股份
000930,中粮生化
000937,冀中能源
000938,紫光股份
000939,凯迪生态
000960,锡业股份
000961,中南建设
000963,华东医药
000969,安泰科技
000970,中科三环
000973,佛塑科技
000975,银泰资源
000977,浪潮信息
000979,中弘股份
000983,西山煤电
000988,华工科技
000989,九 芝 堂
000996,中国中期
000997,新 大 陆
000998,隆平高科
000999,华润三九
002001,新 和 成
002004,华邦健康
002005,德豪润达
002007,华兰生物
002008,大族激光
002011,盾安环境
002016,世荣兆业
002022,科华生物
002023,海特高新
002024,苏宁云商
002025,航天电器
002028,思源电气
002029,七 匹 狼
002030,达安基因
002038,双鹭药业
002041,登海种业
002048,宁波华翔
002049,紫光国芯
002050,三花股份
002051,中工国际
002055,得润电子
002056,横店东磁
002063,远光软件
002064,华峰氨纶
002065,东华软件
002067,景兴纸业
002070,众和股份
002073,软控股份
002078,太阳纸业
002079,苏州固锝
002081,金 螳 螂
002091,江苏国泰
002092,中泰化学
002093,国脉科技
002095,生 意 宝
002104,恒宝股份
002106,莱宝高科
002108,沧州明珠
002117,东港股份
002118,紫鑫药业
002128,露天煤业
002129,中环股份
002130,沃尔核材
002138,顺络电子
002140,东华科技
002142,宁波银行
002146,荣盛发展
002148,北纬通信
002151,北斗星通
002152,广电运通
002153,石基信息
002154,报 喜 鸟
002158,汉钟精机
002161,远 望 谷
002176,江特电机
002179,中航光电
002181,粤 传 媒
002183,怡 亚 通
002185,华天科技
002190,成飞集成
002191,劲嘉股份
002202,金风科技
002203,海亮股份
002204,大连重工
002219,恒康医疗
002221,东华能源
002223,鱼跃医疗
002229,鸿博股份
002230,科大讯飞
002233,塔牌集团
002236,大华股份
002237,恒邦股份
002241,歌尔股份
002242,九阳股份
002244,滨江集团
002250,联化科技
002251,步 步 高
002252,上海莱士
002261,拓维信息
002262,恩华药业
002266,浙富控股
002267,陕天然气
002268,卫 士 通
002269,美邦服饰
002273,水晶光电
002275,桂林三金
002276,万马股份
002277,友阿股份
002281,光迅科技
002285,世联行
002287,奇正藏药
002292,奥飞娱乐
002293,罗莱生活
002294,信立泰
002299,圣农发展
002304,洋河股份
002307,北新路桥
002308,威创股份
002310,东方园林
002311,海大集团
002312,三泰控股
002313,日海通讯
002317,众生药业
002318,久立特材
002325,洪涛股份
002340,格林美
002344,海宁皮城
002353,杰瑞股份
002355,兴民智通
002368,太极股份
002369,卓翼科技
002371,七星电子
002375,亚厦股份
002378,章源钨业
002385,大北农
002393,力生制药
002396,星网锐捷
002399,海普瑞
002400,省广股份
002401,中海科技
002405,四维图新
002407,多氟多
002408,齐翔腾达
002410,广联达
002414,高德红外
002415,海康威视
002416,爱施德
002419,天虹商场
002424,贵州百灵
002428,云南锗业
002429,兆驰股份
002431,棕榈股份
002437,誉衡药业
002439,启明星辰
002440,闰土股份
002444,巨星科技
002450,康得新
002456,欧菲光
002460,赣锋锂业
002461,珠江啤酒
002465,海格通信
002467,二六三
002470,金正大
002474,榕基软件
002475,立讯精密
002476,宝莫股份
002482,广田集团
002490,山东墨龙
002493,荣盛石化
002500,山西证券
002501,利源精制
002508,老板电器
002518,科士达
002524,光正集团
002556,辉隆股份
002570,贝因美
002571,德力股份
002573,清新环境
002574,明牌珠宝
002577,雷柏科技
002579,中京电子
002594,比亚迪
002603,以岭药业
002642,荣之联
002646,青青稞酒
002648,卫星石化
002653,海思科
002673,西部证券
002681,奋达科技
002701,奥瑞金
159901,深100ETF
159902,中 小 板
159903,深成ETF
159919,300ETF
159925,南方300
159933,金地ETF
300001,特锐德
300002,神州泰岳
300003,乐普医疗
300005,探路者
300010,立思辰
300014,亿纬锂能
300015,爱尔眼科
300017,网宿科技
300020,银江股份
300024,机器人
300026,红日药业
300027,华谊兄弟
300034,钢研高纳
300039,上海凯宝
300052,中青宝
300053,欧比特
300055,万邦达
300058,蓝色光标
300059,东方财富
300065,海兰信
300070,碧水源
300072,三聚环保
300074,华平股份
300077,国民技术
300079,数码视讯
300088,长信科技
300090,盛运环保
300093,金刚玻璃
300104,乐视网
300115,长盈精密
300122,智飞生物
300124,汇川技术
300128,锦富新材
300133,华策影视
300134,大富科技
300146,汤臣倍健
300147,香雪制药
300152,科融环境
300157,恒泰艾普
300168,万达信息
300170,汉得信息
300191,潜能恒信
300199,翰宇药业
300202,聚龙股份
300203,聚光科技
300205,天喻信息
300212,易华录
300216,千山药机
300226,上海钢联
300228,富瑞特装
300251,光线传媒
300253,卫宁健康
300257,开山股份
300273,和佳股份
300274,阳光电源
300315,掌趣科技
300355,蒙草生态
