code,name,A,B,C,D,E,F
510010,治理ETF,3500865,7542,29766,0,0,0
510050,50ETF,7127149020,108713143,25350729,15811086,4821100,4702263
510180,180ETF,565259758,210484,1650383,1661186,0,0
510230,金融ETF,10283610,0,21203,0,0,0
510300,300ETF,20214768033,163576878,115599556,121710146,34703800,36091600
510310,HS300ETF,3058721,103830,42200,0,0,0
510330,华夏300,4475235,100483,0,36200,0,0
510500,500ETF,116958196,10119313,3659750,90840753,590000,9395066
510510,广发500,8659740,11914,10849,9992600,0,0
510880,红利ETF,6401912,154255,238216,52700,0,300
510900,H股ETF,838172770,42509525,13168105,0,0,0
511010,国债ETF,20018221,7235087,4344331,0,0,0
512070,非银ETF,9145098,0,21616,0,0,0
512500,中证500,2483282,0,0,0,0,0
512990,MSCIA股,2441497,19440,7073,0,0,0
600000,浦发银行,2351035037,45374383,14967737,4463101,28100,39010
600005,武钢股份,644886771,42402371,36345505,432300,3000,7000
600006,东风汽车,527233120,12080928,9358019,0,0,0
600007,中国国贸,369936317,35802447,4579760,0,0,0
600008,首创股份,828947126,26929560,28791676,272900,2500,57000
600009,上海机场,413474061,4535615,9431790,58074,3000,1900
600010,包钢股份,1198894220,23108050,20434106,256100,0,9200
600011,华能国际,343074086,26780929,6630778,113800,5000,100
600015,华夏银行,2327292362,48506378,38452604,1901358,93000,0
600016,民生银行,5758714792,5107047,22169904,12948119,696100,383400
600017,日照港,499581919,13219311,9492384,500,0,0
600018,上港集团,566187561,9948700,8792058,238200,13000,37700
600019,宝钢股份,1042764641,41097840,38117960,503300,27000,50000
600021,上海电力,387295097,0,1443350,74500,0,0
600022,山东钢铁,354605142,32859029,13765897,94400,80000,0
600023,浙能电力,661741785,12874741,26032388,104200,0,0
600026,中海发展,467289973,23154609,36513545,50000,0,0
600027,华电国际,487222052,9478077,11567879,34700,5000,0
600028,中国石化,2235135684,32958428,52636177,5895030,678600,193900
600029,南方航空,1585544887,70485223,83162705,853997,46400,180700
600030,中信证券,9629914295,246403049,177128687,12065145,377800,513400
600031,三一重工,964032993,20706922,12772570,351313,13000,5000
600036,招商银行,2050097497,45617252,21112288,1912128,165800,131539
600037,歌华有线,1163412684,46696514,49845627,38800,0,0
600038,中直股份,962518118,55255221,35038450,87208,8000,5900
600039,四川路桥,546859742,18307340,16872293,48100,20100,0
600048,保利地产,2347996673,126843855,87802300,437100,20100,28700
600050,中国联通,2378837112,473121203,349549696,2372390,768400,408200
