code,name,trade,percent,category,tilte1,tilte2
300591,万里马,32.31,10.01,67,,
300534,陇神戎发,86.77,10.003,186,,
002824,和胜股份,50.19,9.993,65,,
002849,威星智能,67.10,8.717,29,,
603603,博天环境,49.32,6.454,29,,
002836,新宏泽,73.54,5.283,79,,
300612,宣亚国际,91.15,4.891,31,,
601375,中原证券,12.32,4.673,74,,
603036,如通股份,36.22,4.29,99,,
603238,诺邦股份,51.35,3.591,24,,
002798,帝王洁具,60.95,3.533,297,,
603218,日月股份,51.47,3.457,80,,
601882,海天精工,28.17,3.187,131,,
300571,平治信息,127.52,2.938,95,,
603028,赛福天,25.13,2.823,352,,
300507,苏奥传感,118.00,2.609,323,,
600939,重庆建工,20.06,1.724,25,,
300516,久之洋,100.90,1.673,289,,
002829,星网宇达,91.91,1.536,95,,
601212,白银有色,14.43,1.477,31,,
603577,汇金通,53.78,1.166,86,,
603339,四方冷链,37.63,1.156,303,,
002835,同为股份,44.22,1.051,80,,
603336,宏辉果蔬,44.00,0.941,114,,
603668,天马科技,30.06,0.94,60,,
300603,立昂技术,52.99,0.933,51,,
002791,坚朗五金,50.47,0.92,354,,
300552,万集科技,58.32,0.882,148,,
002843,泰嘉股份,38.12,0.793,57,,
002842,翔鹭钨业,62.85,0.753,58,,
002847,盐津铺子,51.90,0.738,38,,
603628,清源股份,38.02,0.715,65,,
603615,茶花股份,31.90,0.694,33,,
603677,奇精机械,67.48,0.596,40,,
300567,精测电子,93.24,0.442,116,,
300562,乐心医疗,144.30,0.425,122,,
603429,集友股份,85.53,0.411,53,,
002825,纳尔股份,55.26,0.072,109,,
002810,山东赫达,48.61,0.041,204,,
002799,环球印务,49.78,0.02,283,,
300526,中潜股份,0,0.0,228,,
002813,路畅科技,0,0.0,157,,
002839,张家港行,0,0.0,53,,
603559,中通国脉,0,0.0,106,,
002803,吉宏股份,0,0.0,249,,
300518,盛讯达,0,0.0,267,,
002812,创新股份,0,0.0,185,,
300535,达威股份,0,0.0,218,,
002816,和科达,0,0.0,144,,
300510,金冠电气,0,0.0,316,,
002795,永和智控,0,0.0,324,,
300540,深冷股份,53.99,-0.166,207,,
002802,洪汇新材,52.10,-0.192,262,,
002848,高斯贝尔,36.70,-0.245,33,,
002830,名雕股份,71.80,-0.319,95,,
603585,苏利股份,73.46,-0.353,94,,
603839,安正时尚,43.42,-0.367,32,,
002831,裕同科技,77.70,-0.385,92,,
002792,通宇通讯,46.60,-0.427,355,,
600996,贵广网络,18.24,-0.545,82,,
603040,新坐标,73.38,-0.569,37,,
603690,至纯科技,28.44,-0.629,64,,
601611,中国核建,17.24,-0.634,285,,
603032,德新交运,35.61,-0.753,72,,
603689,皖天然气,23.37,-0.764,67,,
002793,东音股份,64.81,-0.796,337,,
002823,凯中精密,46.98,-0.865,114,,
300599,雄塑科技,29.35,-0.912,54,,
603330,上海天洋,72.52,-0.929,33,,
603859,能科股份,78.20,-1.025,148,,
603817,海峡环保,27.64,-1.109,26,,
601229,上海银行,24.05,-1.11,122,,
002822,中装建设,27.81,-1.173,109,,
601163,三角轮胎,32.29,-1.224,190,,
603663,三祥新材,35.43,-1.227,229,,
300572,安车检测,61.04,-1.262,102,,
002808,苏州恒久,41.58,-1.306,218,,
300506,名家汇,39.52,-1.323,359,,
603007,花王股份,63.15,-1.328,204,,
603016,新宏泰,38.65,-1.353,260,,
601966,玲珑轮胎,26.54,-1.375,255,,
603239,浙江仙通,88.17,-1.376,78,,
