code,name,trade,percent,category,tilte1,tilte2
603799,华友钴业,70.31,9.997,有色金属-有色冶炼加工-小金属,,
300224,正海磁材,13.01,9.975,有色金属-新材料-磁性材料,,
300618,寒锐钴业,107.01,9.072,有色金属-新材料-金属新材料Ⅲ,,
002600,江粉磁材,9.68,8.52,有色金属-新材料-磁性材料,,
300690,双一科技,61.50,7.939,有色金属-新材料-非金属新材料,,
603993,洛阳钼业,6.70,6.869,有色金属-有色冶炼加工-小金属,,
600516,方大炭素,32.33,5.894,有色金属-新材料-非金属新材料,,
002460,赣锋锂业,70.20,5.564,有色金属-有色冶炼加工-小金属,,
603688,石英股份,12.93,5.465,有色金属-新材料-非金属新材料,,
002340,格林美,7.26,5.065,有色金属-新材料-金属新材料Ⅲ,,
600687,刚泰控股,13.52,4.241,有色金属-有色冶炼加工-黄金,,
002466,天齐锂业,64.82,4.211,有色金属-有色冶炼加工-小金属,,
000878,云南铜业,14.72,3.368,有色金属-有色冶炼加工-铜,,
300127,银河磁体,19.88,3.167,有色金属-新材料-磁性材料,,
600549,厦门钨业,32.79,3.113,有色金属-有色冶炼加工-小金属,,
002149,西部材料,12.34,2.745,有色金属-新材料-金属新材料Ⅲ,,
601600,中国铝业,7.46,2.476,有色金属-有色冶炼加工-铝,,
002378,章源钨业,11.06,2.41,有色金属-有色冶炼加工-小金属,,
600888,新疆众和,7.87,2.208,有色金属-有色冶炼加工-铝,,
600721,百花村,14.57,2.102,采掘-煤炭开采-焦炭加工,,
603399,新华龙,14.48,2.044,有色金属-有色冶炼加工-小金属,,
600362,江西铜业,18.74,1.905,有色金属-有色冶炼加工-铜,,
600392,盛和资源,23.41,1.871,有色金属-有色冶炼加工-小金属,,
603978,深圳新星,52.88,1.849,有色金属-有色冶炼加工-铝,,
601958,金钼股份,8.99,1.812,有色金属-有色冶炼加工-小金属,,
600139,西部资源,9.16,1.665,有色金属-有色冶炼加工-铜,,
002167,东方锆业,12.64,1.608,有色金属-有色冶炼加工-小金属,,
300554,三超新材,50.11,1.519,有色金属-新材料-非金属新材料,,
601020,华钰矿业,24.73,1.518,有色金属-有色冶炼加工-铅锌,,
601677,明泰铝业,14.10,1.512,有色金属-有色冶炼加工-铝,,
000795,英洛华,7.50,1.491,有色金属-新材料-磁性材料,,
600508,上海能源,13.64,1.337,采掘-煤炭开采-煤炭开采Ⅲ,,
002155,湖南黄金,10.74,1.321,有色金属-有色冶炼加工-黄金,,
601388,怡球资源,5.09,1.191,有色金属-有色冶炼加工-铝,,
002203,海亮股份,8.63,1.174,有色金属-有色冶炼加工-铜,,
600123,兰花科创,9.44,1.071,采掘-煤炭开采-煤炭开采Ⅲ,,
600711,盛屯矿业,7.69,1.053,有色金属-有色冶炼加工-铜,,
000780,*ST平能,5.04,1.002,采掘-煤炭开采-煤炭开采Ⅲ,,
000697,炼石有色,21.69,0.978,有色金属-有色冶炼加工-小金属,,
000630,铜陵有色,3.11,0.971,有色金属-有色冶炼加工-铜,,
000657,中钨高新,14.01,0.864,有色金属-有色冶炼加工-小金属,,
002824,和胜股份,21.63,0.839,有色金属-有色冶炼加工-铝,,
601011,宝泰隆,9.30,0.76,采掘-煤炭开采-焦炭加工,,
600459,贵研铂业,23.55,0.727,有色金属-有色冶炼加工-小金属,,
600311,荣华实业,5.67,0.711,有色金属-有色冶炼加工-黄金,,
600121,*ST郑煤,6.19,0.65,采掘-煤炭开采-煤炭开采Ⅲ,,
600403,*ST大有,5.10,0.592,采掘-煤炭开采-煤炭开采Ⅲ,,
002057,中钢天源,15.35,0.59,有色金属-新材料-磁性材料,,
601225,陕西煤业,8.01,0.503,采掘-煤炭开采-煤炭开采Ⅲ,,
600595,中孚实业,6.51,0.463,有色金属-有色冶炼加工-铝,,
601168,西部矿业,8.75,0.459,有色金属-有色冶炼加工-铜,,
000970,中科三环,16.71,0.421,有色金属-新材料-磁性材料,,
000969,安泰科技,10.22,0.393,有色金属-新材料-金属新材料Ⅲ,,
000960,锡业股份,14.34,0.35,有色金属-有色冶炼加工-小金属,,
601137,博威合金,11.75,0.342,有色金属-有色冶炼加工-铜,,
000807,云铝股份,11.85,0.339,有色金属-有色冶炼加工-铝,,
601212,白银有色,8.64,0.232,有色金属-有色冶炼加工-铜,,
002237,恒邦股份,11.98,0.167,有色金属-有色冶炼加工-黄金,,
600714,金瑞矿业,12.75,0.079,采掘-煤炭开采-煤炭开采Ⅲ,,
600432,*ST吉恩,0,0.0,有色金属-有色冶炼加工-小金属,,
601069,西部黄金,0,0.0,有色金属-有色冶炼加工-黄金,,
002842,翔鹭钨业,0,0.0,有色金属-有色冶炼加工-小金属,,
