code,name,trade,percent,category,tilte1,tilte2
000791,甘肃电投,15.57,10.035,地方国资改革;新能源,,
002046,轴研科技,15.09,9.985,央企国资改革;央企整合;央企控股,,
600698,湖南天雁,11.13,9.98,央企国资改革;节能环保,,
000953,河池化工,14.22,6.358,央企国资改革;央企整合;股权转让,,
600148,长春一东,44.90,6.122,央企国资改革;央企整合;军工改制,,
600814,杭州解百,12.60,6.061,地方国资改革;并购重组;体育产业,,
002265,西仪股份,26.81,5.801,央企国资改革;航天军工;并购重组,,
300402,宝色股份,31.39,5.477,地方国资改革;新材料概念;军工,,
000977,浪潮信息,20.85,5.197,地方国资改革;国产软件;国产替代,,
002246,北化股份,15.87,5.099,央企国资改革;航天军工;TDI上涨,,
000505,*ST珠江,10.75,4.981,地方国资改革;东盟北部湾;三沙,,
600098,广州发展,11.77,4.622,地方国资改革;美丽中国;融资融券,,
000066,长城电脑,9.52,4.158,央企国资改革;央企整合;电子信息,,
601038,一拖股份,13.22,4.013,央企国资改革;融资融券;一号文件,,
600150,中国船舶,29.17,3.956,央企国资改革;央企控股;央企整合,,
600692,亚通股份,18.69,3.949,地方国资改革;上海国资改革;农信社改革,,
002349,精华制药,20.16,3.918,地方国资改革;结核病;并购重组,,
002320,海峡股份,15.39,3.916,地方国资改革;春节概念;航运,,
601801,皖新传媒,19.05,3.815,地方国资改革;融资融券;供应链金融,,
600416,湘电股份,15.55,3.46,地方国资改革;湖南国资改革;融资融券,,
600202,哈空调,12.61,3.276,地方国资改革;振兴东北;低碳经济(CDM,,
600426,华鲁恒升,13.68,3.09,地方国资改革;融资融券;股权激励,,
600480,凌云股份,17.46,3.07,央企国资改革;央企整合;军工改制,,
600758,红阳能源,11.20,2.847,地方国资改革;振兴东北;并购重组,,
600756,浪潮软件,21.78,2.833,地方国资改革;国产软件;融资融券,,
601717,郑煤机,8.07,2.803,地方国资改革;融资融券;万达私有化,,
000789,万年青,8.34,2.709,地方国资改革;融资融券;转融券标的,,
002820,桂发祥,39.71,2.583,地方国资改革;电子商务;新股与次新股,,
600081,东风科技,15.57,2.569,央企国资改革;央企整合;纳米,,
