code,name,trade,percent,category,tilte1,tilte2
000837,秦川机床,9.52,10.058,地方国资改革;3D打印;天水经济区,,
600207,安彩高科,10.31,10.032,地方国资改革;特种玻璃;3D玻璃,,
002302,西部建设,9.33,10.024,央企国资改革;融资融券;一带一路,,
000411,英特集团,24.31,10.000,央企国资改革;医保,,
600760,*ST黑豹,22.31,4.988,央企国资改革;军工改制;航空航天,,
000962,*ST东钽,12.43,4.983,央企国资改革;稀缺资源;轻型合金,,
600992,贵绳股份,18.00,4.167,地方国资改革;参股金融;台风,,
600479,千金药业,16.14,4.129,地方国资改革;湖南国资改革;医疗改革,,
300140,启源装备,17.26,3.291,央企国资改革;智能电网;仪电仪表,,
000708,大冶特钢,13.77,2.992,央企国资改革;特钢;轧板,,
000410,沈阳机床,13.51,2.973,地方国资改革;融资融券;振兴东北,,
600569,安阳钢铁,3.29,2.813,地方国资改革;低碳经济(CDM);螺纹钢,,
002732,燕塘乳业,39.66,2.693,央企国资改革;证金持股;冷链物流,,
600433,冠豪高新,8.60,2.625,央企国资改革;三旧改造;融资融券,,
601038,一拖股份,12.47,2.549,央企国资改革;融资融券;一号文件,,
600814,杭州解百,14.09,2.398,地方国资改革;并购重组;体育产业,,
600192,长城电工,9.91,2.270,地方国资改革;氢燃料电池;智能电网,,
600336,澳柯玛,8.47,1.925,地方国资改革;融资融券;青岛东方影都,,
300073,当升科技,48.40,1.895,央企国资改革;锂电池;苹果概念,,
600423,柳化股份,9.81,1.658,地方国资改革;低碳经济(CDM);煤化工,,
002208,合肥城建,16.88,1.626,地方国资改革;合肥迪士尼;皖江区域,,
600249,两面针,11.79,1.550,地方国资改革;生物医药;达菲,,
600148,长春一东,40.69,1.522,央企国资改革;央企整合;军工改制,,
600501,航天晨光,21.31,1.283,央企国资改革;央企整合;军工改制,,
600117,西宁特钢,5.74,1.235,地方国资改革;稀有金属;稀缺煤,,
000678,襄阳轴承,15.30,1.191,地方国资改革;并购重组;股权转让,,
002106,莱宝高科,12.10,1.171,央企国资改革;融资融券;转融券标的,,
600546,*ST山煤,4.36,1.160,地方国资改革;证金持股;图们江区域,,
000953,河池化工,18.58,1.143,央企国资改革;央企整合;股权转让,,
000777,中核科技,23.51,1.118,央企国资改革;金改;央企整合,,
