code,name,trade,percent,category,tilte1,tilte2
300297,蓝盾股份,11.61,10.047,网络安全;安防;互联网广告,,
300157,恒泰艾普,12.82,10.043,雄安新区;雄安地热;大数据,,
300229,拓尔思,13.83,10.024,网络安全;移动互联网;信息消费,,
002282,博深工具,24.37,10.023,雄安新区;雄安交通;高铁,,
002158,汉钟精机,21.64,10.015,雄安新区;雄安地热;融资融券,,
300311,任子行,16.37,10.013,网络安全;网络游戏;大数据反恐,,
002439,启明星辰,19.12,10.012,网络安全;转融券标的;电子信息,,
300344,太空板业,20.55,10.011,雄安新区;雄安基建;互联网+,,
300334,津膜科技,33.52,10.01,雄安新区;雄安环保;滨海新区,,
300579,数字认证,55.40,10.008,网络安全;新股与次新股;移动支付,,
300188,美亚柏科,18.14,10.006,网络安全;无人机;大数据反恐,,
300352,北信源,15.29,10.0,网络安全;超级计算机;信息消费,,
300386,飞天诚信,20.13,10.0,网络安全;区块链;移动支付,,
603232,格尔软件,66.02,9.997,网络安全;新股与次新股,,
300369,绿盟科技,26.55,9.983,网络安全;阅兵;股权激励,,
000158,常山股份,14.77,9.978,网络安全;雄安新区;雄安金融,,
000852,石化机械,13.10,9.623,雄安新区;雄安地热;致密气,,
600874,创业环保,24.38,8.452,雄安新区;雄安环保;滨海新区,,
300588,熙菱信息,44.60,7.47,网络安全;安防;新股与次新股,,
300479,神思电子,20.00,7.162,网络安全;互联网医疗;人工智能,,
603603,博天环境,49.59,6.973,雄安新区;雄安环保;新股与次新股,,
300546,雄帝科技,40.84,6.89,网络安全;新股与次新股;高送转,,
603050,科林电气,52.96,6.644,雄安新区;新股与次新股;智能电网,,
300010,立思辰,14.30,6.488,网络安全;PPP概念;转融券标的,,
300075,数字政通,26.31,6.478,雄安新区;安防;遥感技术,,
002268,卫士通,32.76,6.262,网络安全;区块链;移动支付,,
000801,四川九州,32.76,6.262,网络安全;区块链;移动支付,,
002212,南洋股份,15.80,6.112,网络安全;智能电网;仪电仪表,,
002011,盾安环境,10.33,5.949,雄安新区;雄安地热;新能源,,
000958,东方能源,17.25,5.76,雄安新区;中电投合并;光伏概念,,
300117,嘉寓股份,10.16,5.711,雄安新区;雄安基建;新能源,,
002616,长青集团,22.55,5.621,雄安新区;节能环保;垃圾发电,,
603098,森特股份,24.38,5.225,雄安新区;新股与次新股;绿色建筑,,
300324,旋极信息,19.09,5.118,网络安全;机构重仓;军工,,
000547,航天发展,10.74,4.776,网络安全;军民融合;航天军工,,
300333,兆日科技,13.47,4.74,网络安全;互联网金融;新版人民币,,
300107,建新股份,8.68,4.705,雄安新区;雄安金融;分散染料,,
300077,国民技术,13.11,4.379,网络安全;物联网;移动互联网,,
002542,中化岩土,13.29,4.314,雄安新区;雄安基建;互联网金融,,
600701,工大高新,13.51,4.244,网络安全;机器人园区;中俄自贸区,,
002373,千方科技,16.52,4.098,雄安新区;雄安交通;智慧停车,,
603636,南威软件,14.93,4.036,网络安全;互联网+;股权激励,,
300379,东方通,48.15,3.861,网络安全;大数据;透明计算,,
600776,东方通信,6.71,3.39,网络安全;专网通信;融资融券,,
600410,华胜天成,8.48,3.163,网络安全;参股新三板;移动支付,,
002197,证通电子,12.20,2.954,网络安全;珠三角区;互联网+,,
300020,银江股份,14.34,2.581,雄安新区;雄安交通;安防,,
600105,永鼎股份,8.45,2.552,网络安全;沪港通概念;光纤,,
300428,四通新材,30.85,2.495,雄安新区;新材料概念;汽车制造概念,,
300407,凯发电气,17.84,2.47,雄安新区;雄安交通;并购重组,,
000711,京蓝科技,16.72,2.448,雄安新区;雄安环保;智能医疗,,
