code,name,trade,percent,category,tilte1,tilte2
601992,金隅股份,5.13,10.086,雄安新区,雄安新区A股+港股+美股最全标的，不看后悔,雄安新区出台，  这些公司直接受益
600376,首开股份,13.26,10.042,雄安新区,雄安新区设立激发做多热情 三维度掘金49只概念股,新区雄安，崛起在即！雄安概念股一览（dwb8688）
600550,保变电气,7.78,10.042,雄安新区,【电气设备】雄安新区设立带动京津冀，电新三条线寻找发展可能,”雄安新区”投资全攻略
600717,天津港,12.94,10.034,雄安新区,,
300137,先河环保,17.00,10.032,雄安新区,有些问题请教，谢谢。                                     1.据券商研报，公司的雄县项目那有2700家企业，目前只有15家企业，是否表示进度1.据券商报道雄县有2700家印刷类企业，目前只有15家是否进去比较慢？未来2700家会有多少是在18亿协议内的？                                     2.安装设施的15家企业是否是2700家中比较大的企业？占比18亿协议中的多少金额？（比如1亿还是大约几亿类似）                                     3.雄县项目是否受到了雄安新区的影响会有改变？,
002342,巨力索具,8.56,10.026,雄安新区,,
000897,津滨发展,5.05,10.022,雄安新区,墨龙点股：(wr6009)新区雄安，崛起在即！雄安概念股一览,4月4日（kp5108）：新区雄安，崛起在即！雄安概念股一览（欢迎转发）
600149,廊坊发展,18.23,10.018,雄安新区,,
002616,长青集团,25.26,10.017,雄安新区,,
601633,长城汽车,13.84,10.016,雄安新区,长城汽车要把总部搬到雄安新区？这并非没有可能,
600340,华夏幸福,29.99,10.015,雄安新区,【中信晨会0405】设立雄安新区；策略：“中”周期领涨红四月；上汽集团,
000401,冀东水泥,15.38,10.014,雄安新区,,
601000,唐山港,4.84,10.0,雄安新区,,
600155,宝硕股份,14.19,10.0,雄安新区,,
600135,乐凯胶片,15.84,10.0,雄安新区,雄安新区概念大好！超级热点龙头股曝光！节后必然掀起涨停潮！,
000923,河北宣工,27.50,10.0,雄安新区,,
600482,中国动力,35.56,9.991,雄安新区,,
002431,棕榈股份,11.01,9.99,雄安新区,【国君策略】电话会议纪要——国君宏观策略联合五大行业掘金雄安新区,干货：雄安新区个股大全&应变策略！
000958,东方能源,15.53,9.986,雄安新区,雄安新区”横空出世”激发做多热情 这49只概念股你要关注！,
600480,凌云股份,20.49,9.984,雄安新区,,
000615,京汉股份,15.21,9.978,雄安新区,,
002146,荣盛发展,9.59,9.977,雄安新区,,
600266,北京城建,16.10,9.973,雄安新区,,
000709,河钢股份,3.97,9.972,雄安新区,,
000959,首钢股份,7.84,9.958,雄安新区,,
002477,雏鹰农牧,5.19,9.958,雄安新区,,
000778,新兴铸管,5.98,9.927,雄安新区,,
000856,*ST冀装,14.14,4.974,雄安新区,雄安新区概念大火  这些上市公司却忙着撇清关系,
000916,华北高速,0,0.0,雄安新区,雄安新区大概率成为今年的主线,
