code,name,trade,percent,category,tilte1,tilte2
000605,渤海股份,34.73,10.01,雄安新区,周三，A股延续了周二小幅反弹走势，早盘一度冲高突破3150，午盘后再度跳水，截至收盘，上证指数上涨0.2%，深证指数上涨0.39%，创业板上涨0.09%，两,河北雄安新区首次新闻发布会：明确提出1 N规划体系 2017-04-26 18:
002158,汉钟精机,14.63,10.0,雄安新区,雄安新区调整将结束？机构携手游资入场抄底,雄安概念股再度大跌 28只相关个股区间回撤超20%
002282,博深工具,19.04,9.994,雄安新区,,
600550,保变电气,11.01,9.99,雄安新区,同花顺收评：沪指冲高5日线回落收红 雄安新区超10股涨停领跑两市,
000856,冀东装备,34.25,9.987,雄安新区,#投资达人说#  #雄安新区概念股# 沪指冲高5日线回落收红 雄安新区超10股涨停领跑两市$金隅股份 sh601992$ $先河环保 sz300137$,
600874,创业环保,16.21,9.973,雄安新区,,
600008,首创股份,7.84,8.449,雄安新区,,
000965,天保基建,8.30,6.812,雄安新区,,
002457,青龙管业,23.73,6.727,雄安新区,,
000852,石化机械,11.79,6.594,雄安新区,雄安新区地产股票下挫 券商挖掘更多”边角”概念,
603098,森特股份,22.90,5.638,雄安新区,,
300137,先河环保,35.10,5.114,雄安新区,,
300117,嘉寓股份,9.37,5.051,雄安新区,嘉寓股份：雄安新区+京津冀空间规划编制 嘉寓股份涨停,机会情报]河北雄安新区设立 四大行业将催生投资机会(受益股)  昨日，雄安基建概念板块整体涨幅达到7.28%，居A股概念板块排名首位，包括嘉寓股份、冀东水泥
603903,中持股份,63.40,4.448,雄安新区,,
603969,银龙股份,23.23,3.603,雄安新区,,
000600,建投能源,13.82,3.366,雄安新区,,
002616,长青集团,23.80,2.539,雄安新区,,
000897,津滨发展,5.91,2.426,雄安新区,雄安新区概念股持续上涨 雄安新区概念股龙头股集锦（附股）,
601992,金隅股份,8.18,2.378,雄安新区,02009--金隅股份:关于本公司A股股票交易异常波动停牌核查的公告,
603126,中材节能,15.39,2.054,雄安新区,,
600533,栖霞建设,6.34,1.605,雄安新区,,
603603,博天环境,40.10,1.34,雄安新区,,
600578,京能电力,4.62,1.094,雄安新区,,
000959,首钢股份,7.69,0.919,雄安新区,雄安新区对首钢有影响么,
002310,东方园林,17.55,0.805,雄安新区,,
300075,数字政通,25.69,0.784,雄安新区,雄安新区助冀东水泥股价飞涨 前海人寿退出前十大股东错过行情,
600480,凌云股份,22.46,0.763,雄安新区,,
000158,常山股份,13.25,0.761,雄安新区,,
002542,中化岩土,11.72,0.688,雄安新区,,
002342,巨力索具,10.76,0.654,雄安新区,,
000958,东方能源,16.69,0.604,雄安新区,,
002717,岭南园林,28.55,0.492,雄安新区,快讯：雄安新区板块直线拉升 冀东装备等3股涨停,
000652,泰达股份,7.23,0.277,雄安新区,,
002108,沧州明珠,24.43,0.164,雄安新区,,
300055,万邦达,18.31,0.164,雄安新区,,
000923,河北宣工,0,0.0,雄安新区,,
000916,华北高速,0,0.0,雄安新区,,
600149,廊坊发展,0,0.0,雄安新区,,
300107,建新股份,7.09,0.0,雄安新区,,
000615,京汉股份,20.15,-0.247,雄安新区,,
002431,棕榈股份,11.79,-0.254,雄安新区,,
000778,新兴铸管,6.91,-0.288,雄安新区,,
600717,天津港,14.71,-0.407,雄安新区,,
000826,启迪桑德,36.73,-0.461,雄安新区,,
603616,韩建河山,25.15,-0.475,雄安新区,,
600028,中国石化,5.75,-0.519,雄安新区,三桶油布局雄安新区 中石化有望终结雄安烧煤史,
601000,唐山港,6.42,-0.619,雄安新区,,
300428,四通新材,33.57,-0.709,雄安新区,,
600739,辽宁成大,16.68,-0.714,雄安新区,,
601258,庞大集团,3.56,-0.838,雄安新区,,
002146,荣盛发展,11.68,-0.848,雄安新区,,
603569,长久物流,37.19,-0.88,雄安新区,,
600135,乐凯胶片,16.33,-0.972,雄安新区,金牛化工600722遭神秘主力强势控盘涨停将进龙虎榜,
000786,北新建材,15.08,-0.986,雄安新区,,
000709,河钢股份,4.68,-1.057,雄安新区,,
300371,汇中股份,24.95,-1.071,雄安新区,,
002459,天业通联,14.98,-1.187,雄安新区,,
600221,海南航空,3.29,-1.198,雄安新区,,
000415,渤海金控,6.84,-1.299,雄安新区,,
000937,冀中能源,6.55,-1.355,雄安新区,,
600155,宝硕股份,15.50,-1.4,雄安新区,,
601633,长城汽车,13.27,-1.412,雄安新区,,
300344,太空板业,14.84,-1.461,雄安新区,,
002494,华斯股份,15.47,-1.528,雄安新区,,
000711,京蓝科技,15.93,-1.667,雄安新区,,
300070,碧水源,21.26,-1.708,雄安新区,,
002665,首航节能,7.64,-1.804,雄安新区,,
600340,华夏幸福,36.19,-1.871,雄安新区,,
002477,雏鹰农牧,5.15,-1.905,雄安新区,,
600266,北京城建,16.42,-1.914,雄安新区,雄安新区概念股炒作降温 北京“瘦身”凸显哪些投资机会,
000401,冀东水泥,20.72,-1.984,雄安新区,,
600795,国电电力,3.35,-2.047,雄安新区,,
600812,华北制药,5.95,-2.138,雄安新区,,
600376,首开股份,12.33,-2.143,雄安新区,,
300210,森远股份,15.36,-2.476,雄安新区,,
300048,合康新能,7.69,-2.655,雄安新区,同花顺和华泰软件都显示300048是雄安新区概念，东方财富为,合康新能（300048）：节能环保业务增长强劲，新能源汽车板块蓄势待发
300368,汇金股份,14.93,-2.736,雄安新区,,
600722,金牛化工,10.13,-2.876,雄安新区,,
002271,东方雨虹,27.62,-2.952,雄安新区,,
601390,中国中铁,8.52,-2.958,雄安新区,五矿集团引导旗下企业迁入雄安新区,
000616,海航投资,4.58,-3.383,雄安新区,,
600482,中国动力,30.14,-6.11,雄安新区,,
