code,name,trade,percent,category,tilte1,tilte2
000158,常山股份,0,0.0,整体搬迁受益、土地增值。公司2013年中,发改委将推动京津冀交通一体化重点项目落地 受益股,公司投资收购外资纺织品牌进度如何？公司在制定未来发展战略时有没有考虑京津冀一体化的背景和环境。石家庄作为离北京最近的省会城市，未来一定是京津冀不可或缺的重要组成部分，常山在其中的定位公司有没有想过。
000401,冀东水泥,0,0.0,公司目前是北方最大的水泥生产企业，水泥产,"京津冀一体化动态报告:受益于京津冀基建需求,继续看好冀东水泥",国家战略三周年倒计时，四大一体化或引爆京津冀主题炸裂式飙升！
300334,津膜科技,0,0.0,2015年初河北省省长张庆伟在做政府工作,,
600082,海泰发展,0.00,0.0,公司地处滨海新区，控股股东海泰控股集团拥,,
600135,乐凯胶片,0.00,0.0,公司是保定本地的龙头企业之一，第一大股东,,
600149,廊坊发展,0.00,0.0,河北将成为京津冀协同发展战略中最重要的产,,
600155,宝硕股份,0.00,0.0,公司为河北保定上市公司，未来以管型材为主,,
600159,大龙地产,0.00,0.0,公司为北京房地产上市公司，现有项目储备约,,
600246,万通地产,0.00,0.0,公司为北京地区的房地产商。2010年，公,,
600258,首旅酒店,0.00,0.0,公司为北京地区从事酒店运营、酒店管理、景,,
600322,天房发展,0.00,0.0,公司是天津市房地产开发的龙头企业，在天津,,
600340,华夏幸福,0.00,0.0,公司事业版图主要位于环首都经济区、环渤海,,
600426,华鲁恒升,0.00,0.0,国家发改委初步提出将德州列为京津冀一体化,,
600480,凌云股份,0.00,0.0,公司为河北省涿州上市公司，主营汽车零部件,,
600482,中国动力,0.00,0.0,公司在河北有较多的土地储备，随着京津冀一,,
600550,保变电气,0.00,0.0,公司为河北保定上市公司，是我国大型高端变,,
600717,天津港,0.00,0.0,公司作为重要港口，将大幅受益京津冀一体化,“京津冀一体化”或迎“两会”催化剂 (个股名单),
600722,金牛化工,0.00,0.0,公司为河北沧州上市公司，主营聚氯乙烯树脂,,
600787,中储股份,0.00,0.0,在京津冀协同发展的大背景下，京津冀交通一,京津冀产业协同发展，交通一体化先行——京津冀协同发展三周年系列之二（兴业策略团队20170220）,
600791,京能置业,0.00,0.0,公司为北京地产商，13年年报显示，公司在,,
600874,创业环保,0.00,0.0,2015年初河北省省长张庆伟在做政府工作,,
600881,亚泰集团,0.00,0.0,2011年6月亚泰集团收购兰海集团51%,,
601000,唐山港,0.00,0.0,公司提供主要服务是港口装卸，运输，堆存仓,交通运输：关注京津冀一体化 荐3股,
601258,庞大集团,0.00,0.0,公司为注册于河北唐山的上市公司，公司主营,,
601588,北辰实业,0.00,0.0,公司为北京地产商，经营业务包括发展物业、,,
300332,天壕环境,0,0.0,2015年初河北省省长张庆伟在做政府工作,,
300185,通裕重工,0,0.0,国家发改委初步提出将德州列为京津冀一体化,,
300156,神雾环保,0,0.0,2015年初河北省省长张庆伟在做政府工作,,
000923,河北宣工,0,0.0,河北宣化工程机械股份有限公司是一家主要从,王兄昨天选的京津冀一体化的河北宣工刚刚逆市拉升  该题材还是强呀，逆市方能见“真功夫”！ ​,
000600,建投能源,0,0.0,公司作为区域性能源供应企业，在河北南网市,京津冀一体化政策加码 淘金这八大领域投资标的(附股),京津冀一体化政策加码 淘金这八大领域投资标的(附股)
000605,渤海股份,0,0.0,2015年初河北省省长张庆伟在做政府工作,,
000620,新华联,0,0.0,公司持有北京新华联置地100%股权。北京,,
000638,万方发展,0,0.0,2010年8月，公司拟以700万元购买宽,,
000687,华讯方舟,0,0.0,公司注册办公地址在保定市新市区盛兴西路1,,
000709,河钢股份,0,0.0,公司是由原唐钢股份、邯郸钢铁和承德钒钛三,,
000797,中国武夷,0,0.0,公司拟建设的环球影视城主题公园项目位于通,"房地产行业2016年12月行业月报及投资策略：京津冀一体化加速推进,警惕险资配置政策性风险",
000826,启迪桑德,0,0.0,桑德环境2014年5月13日晚公告，公司,,
000856,*ST冀装,0,0.0,公司注册地址在河北省唐山市曹妃甸装备制造,,
000916,华北高速,0,0.0,京津塘高速以其便捷的地理位置，较低的费率,,
