code,name,trade,percent,category,tilte1,tilte2
605199,葫芦娃,41.49,9.995,27,--,--
603212,赛伍技术,37.78,9.89,98,--,--
688126,沪硅产业,56.18,8.431,108,--,--
688138,清溢光电,37.40,6.004,260,--,--
688396,华润微,58.70,5.823,161,--,--
688200,华峰测控,319.99,5.586,170,--,--
688099,晶晨股份,57.18,5.388,364,--,--
688123,聚辰股份,79.65,4.833,227,--,--
002965,祥鑫科技,47.62,4.568,286,--,--
603290,斯达半导,254.89,4.519,184,--,--
688268,华特气体,96.80,4.417,224,--,--
603893,瑞芯微,96.50,4.358,181,--,--
688981,中芯国际,84.49,4.206,21,--,--
300829,金丹科技,107.10,4.172,106,--,--
002985,北摩高科,186.65,4.086,99,--,--
688037,芯源微,119.49,3.913,234,--,--
688233,神工股份,49.93,3.697,167,--,--
300823,建科机械,31.55,3.648,140,--,--
688111,金山办公,420.00,3.179,262,--,--
300830,金现代,16.81,3.131,92,--,--
688051,佳华科技,191.51,2.957,139,--,--
688202,美迪西,144.33,2.857,275,--,--
300799,左江科技,95.00,2.571,282,--,--
300831,派瑞股份,23.06,2.439,91,--,--
688365,光云科技,50.55,2.409,99,--,--
688106,金宏气体,41.46,2.216,51,--,--
603927,中科软,64.26,2.195,332,--,--
688181,八亿时空,78.16,2.17,213,--,--
300812,易天股份,53.44,2.084,210,--,--
688023,安恒信息,306.13,1.955,275,--,--
688189,南新制药,62.80,1.95,133,--,--
002983,芯瑞达,49.00,1.872,100,--,--
688588,凌志软件,40.80,1.795,87,--,--
688086,紫晶存储,62.63,1.705,162,--,--
688025,杰普特,74.41,1.666,280,--,--
300802,矩子科技,32.55,1.623,266,--,--
002959,小熊电器,153.86,1.537,349,--,--
688369,致远互联,75.50,1.533,280,--,--
688058,宝兰德,146.10,1.533,279,--,--
002987,京北方,67.89,1.479,91,--,--
688368,晶丰明源,116.69,1.47,297,--,--
002970,锐明技术,64.18,1.439,233,--,--
688078,龙软科技,41.51,1.393,220,--,--
688118,普元信息,42.78,1.35,246,--,--
300791,仙乐健康,94.06,1.14,316,--,--
002975,博杰股份,87.64,1.126,183,--,--
300852,四会富仕,122.81,1.094,24,--,--
688228,开普云,72.19,1.078,132,--,--
688158,优刻得,66.40,0.988,199,--,--
603995,甬金股份,29.45,0.89,226,--,--
688004,博汇科技,80.25,0.766,55,--,--
688312,燕麦科技,46.97,0.726,59,--,--
002979,雷赛智能,36.21,0.723,120,--,--
603195,公牛集团,152.97,0.706,182,--,--
688558,国盛智科,36.60,0.66,37,--,--
688060,云涌科技,168.00,0.581,27,--,--
688081,兴图新科,48.57,0.58,213,--,--
002981,朝阳科技,42.01,0.574,111,--,--
688168,安博通,94.85,0.53,335,--,--
688101,三达膜,22.93,0.482,265,--,--
688363,华熙生物,135.57,0.474,274,--,--
300787,海能实业,42.44,0.474,357,--,--
688085,三友医疗,70.61,0.441,119,--,--
002962,五方光电,24.50,0.41,324,--,--
300790,宇瞳光学,24.78,0.404,321,--,--
603948,建业股份,24.82,0.404,157,--,--
300807,天迈科技,42.06,0.382,231,--,--
688100,威胜信息,26.27,0.382,198,--,--
688199,久日新材,63.61,0.379,275,--,--
002960,青鸟消防,42.30,0.379,363,--,--
603115,海星股份,18.96,0.371,363,--,--
603109,神驰机电,32.78,0.367,219,--,--
688258,卓易信息,105.56,0.363,241,--,--
300826,测绘股份,37.49,0.348,125,--,--
688027,国盾量子,319.75,0.324,28,--,--
688030,山石网科,44.00,0.296,311,--,--
688188,柏楚电子,193.36,0.291,364,--,--
688555,泽达易盛,63.84,0.141,44,--,--
688178,万德斯,42.03,0.119,205,--,--
300810,中科海讯,59.40,0.118,244,--,--
300815,玉禾田,121.08,0.083,196,--,--
688096,京源环保,26.75,0.075,119,--,--
688300,联瑞新材,64.50,0.063,265,--,--
300797,钢研纳克,17.68,0.057,279,--,--
300820,英杰电气,56.88,0.035,175,--,--
300564,筑博设计,29.05,0.034,272,--,--
603755,日辰股份,75.36,0.013,344,--,--
300821,东岳硅材,11.18,0.0,147,--,--
002967,广电计量,28.45,0.0,272,--,--
688159,有方科技,49.45,-0.02,196,--,--
688021,奥福环保,72.57,-0.028,274,--,--
002971,和远气体,25.08,-0.04,206,--,--
688600,皖仪科技,28.28,-0.071,34,--,--
688128,中国电研,23.58,-0.085,275,--,--
300803,指南针,54.02,-0.092,262,--,--
688089,嘉必优,50.75,-0.098,231,--,--
688357,建龙微纳,55.85,-0.107,246,--,--
688377,迪威尔,31.37,-0.159,29,--,--
605288,凯迪股份,128.76,-0.163,66,--,--
300789,唐源电气,60.52,-0.165,344,--,--
300805,电声股份,22.65,-0.176,259,--,--
300806,斯迪克,55.06,-0.181,255,--,--
300808,久量股份,20.23,-0.197,251,--,--
300795,米奥会展,22.27,-0.224,289,--,--
688466,金科环境,41.20,-0.266,90,--,--
603095,越剑智能,29.84,-0.267,113,--,--
300837,浙矿股份,80.97,-0.296,62,--,--
300800,力合科技,36.55,-0.3,274,--,--
002988,豪美新材,18.48,-0.324,80,--,--
601512,中新集团,12.07,-0.33,230,--,--
603353,和顺石油,78.01,-0.383,121,--,--
688208,道通科技,57.08,-0.384,175,--,--
601399,ST国重装,5.07,-0.393,59,--,--
601827,三峰环境,9.75,-0.408,62,--,--
300833,浩洋股份,67.44,-0.414,78,--,--
603390,通达电气,14.03,-0.426,255,--,--
300796,贝斯美,21.01,-0.427,265,--,--
603992,松霖科技,18.35,-0.434,346,--,--
300818,耐普矿机,33.43,-0.447,176,--,--
300822,贝仕达克,44.10,-0.452,146,--,--
603221,爱丽家居,15.33,-0.454,136,--,--
603610,麒盛科技,32.72,-0.456,282,--,--
