code,name,trade,percent,category,tilte1,tilte2
002869,金溢科技,31.39,43.991,新股与次新股,操盘必读：证监会全面梳理资本市场风险点 国产大飞机万亿产业链正开启,【金融界A股头条】证监会全面梳理风险点 混改总龙头第四次延期公告方案
601952,苏垦农发,13.42,43.991,新股与次新股,一带一路成市场中流砥柱,
002870,香山股份,29.43,43.982,新股与次新股,HG直营官网_新塘太阳城娱乐场试玩澳门知名老品牌值得信赖!,2017年5月4日股票市场要闻
300643,万通智控,10.97,10.03,新股与次新股,揭秘涨停板：次新股强势 占据涨停板大半江山,A股周线五连“黑”惨案再现！下周两大赚钱机会已曝光
300647,超频三,27.67,10.02,新股与次新股,,
300649,杭州园林,23.07,10.014,新股与次新股,股民惊呼中了“假新股”,
603926,铁流股份,39.11,10.014,新股与次新股,,
300650,太龙照明,43.07,10.013,新股与次新股,,
603229,奥翔药业,16.48,10.013,新股与次新股,,
603787,新日股份,25.05,10.013,新股与次新股,,
300651,金陵体育,28.90,10.011,新股与次新股,,
603113,金能科技,23.30,10.009,新股与次新股,牛市早报｜股指上方压力重重，将迎来“五穷六绝”的时间窗口,及时雨内参（4月28日）
300579,数字认证,55.40,10.008,新股与次新股,次新股业绩不佳遭质疑 新股发行提速是主因？,
002871,伟隆股份,26.82,10.008,新股与次新股,,
603180,金牌厨柜,44.11,10.0,新股与次新股,,
603232,格尔软件,66.02,9.997,新股与次新股,04月26：股市涨停板分析！,
603896,寿仙谷,22.12,9.995,新股与次新股,,
603501,韦尔股份,19.70,9.994,新股与次新股,,
603505,金石资源,11.56,9.991,新股与次新股,,
300514,友讯达,38.21,9.989,新股与次新股,,
603320,迪贝电气,33.70,9.987,新股与次新股,,
603728,鸣志电器,23.68,9.986,新股与次新股,华泰证券：挖掘基本面优良却被错杀次新股,
603086,先达股份,30.73,9.986,新股与次新股,,
603050,科林电气,53.70,8.441,新股与次新股,,
300588,熙菱信息,44.89,8.313,新股与次新股,公私募一季度买入次新股低估值细分龙头股受青睐,深股通活跃股曝光：19股频繁上榜
300648,星云股份,61.65,7.78,新股与次新股,,
300546,雄帝科技,40.70,6.628,新股与次新股,,
603985,恒润股份,66.53,6.363,新股与次新股,,
603603,博天环境,49.23,6.282,新股与次新股,,
300523,辰安科技,81.98,5.644,新股与次新股,,
603098,森特股份,24.40,5.354,新股与次新股,,
603817,海峡环保,20.22,4.442,新股与次新股,遇上年报密集期 主力扑向高送转,
603039,泛微网络,70.70,4.17,新股与次新股,次新股成交额再破千亿 赚钱效应凸显,
603777,来伊份,36.80,4.131,新股与次新股,,
603690,至纯科技,19.08,3.978,新股与次新股,,
300603,立昂技术,40.49,3.893,新股与次新股,,
603660,苏州科达,36.20,3.695,新股与次新股,,
300602,飞荣达,48.48,3.59,新股与次新股,,
603177,德创环保,23.25,3.425,新股与次新股,,
300600,瑞特股份,61.06,3.125,新股与次新股,,
300585,奥联电子,56.30,2.969,新股与次新股,,
002856,美芝股份,32.88,2.846,新股与次新股,,
603966,法兰泰克,30.86,2.73,新股与次新股,,
300598,诚迈科技,40.27,2.703,新股与次新股,为什么次新股如此受追捧? 揭秘次新股连续暴涨原因,
300645,正元智慧,46.38,2.611,新股与次新股,,
002847,盐津铺子,57.90,2.513,新股与次新股,,
300545,联得装备,70.72,2.478,新股与次新股,,
603165,荣晟环保,66.68,2.348,新股与次新股,,
603677,奇精机械,52.11,2.297,新股与次新股,,
300595,欧普康视,106.75,2.29,新股与次新股,金融早七点：公募首现募集失败；债转股实施机构即将落地,
300531,优博讯,95.30,2.253,新股与次新股,次新股近期降温趋势开始加大了，你怎么看？,
603189,网达软件,23.19,2.159,新股与次新股,新股及次新股板块爆发 电魂网络涨7.64%,
300542,新晨科技,34.90,1.987,新股与次新股,,
002833,弘亚数控,54.61,1.884,新股与次新股,,
603637,镇海股份,42.68,1.764,新股与次新股,,
603833,欧派家居,105.66,1.733,新股与次新股,,
603977,国泰集团,29.65,1.611,新股与次新股,,
300608,思特奇,46.32,1.601,新股与次新股,,
002828,贝肯能源,30.61,1.559,新股与次新股,,
300581,晨曦航空,89.66,1.506,新股与次新股,,
300527,华舟应急,18.79,1.403,新股与次新股,,
300605,恒锋信息,35.88,1.356,新股与次新股,,
300525,博思软件,54.90,1.292,新股与次新股,,
300597,吉大通信,18.29,1.274,新股与次新股,新股密集发行造成资金挤出效应 次新股大跌,
002857,三晖电气,38.29,1.216,新股与次新股,,
002829,星网宇达,33.70,1.201,新股与次新股,,
600977,中国电影,21.35,1.185,新股与次新股,,
300535,达威股份,60.23,1.142,新股与次新股,,
300630,普利制药,35.90,1.127,新股与次新股,,
002822,中装建设,23.88,1.101,新股与次新股,,
300609,汇纳科技,41.99,1.083,新股与次新股,监管风暴持续发酵 11只次新股最大回调幅度超过45%,
600996,贵广网络,13.30,1.064,新股与次新股,,
300627,华测导航,54.50,1.057,新股与次新股,,
002809,红墙股份,38.95,1.038,新股与次新股,,
002868,绿康生化,43.10,0.984,新股与次新股,,
603626,科森科技,56.95,0.975,新股与次新股,,
300521,爱司凯,47.10,0.965,新股与次新股,,
002848,高斯贝尔,23.72,0.936,新股与次新股,,
300549,优德精密,60.25,0.904,新股与次新股,,
002865,钧达股份,38.40,0.895,新股与次新股,,
300621,维业股份,24.80,0.895,新股与次新股,,
002866,传艺科技,35.50,0.853,新股与次新股,,
603843,正平股份,13.87,0.799,新股与次新股,,
601228,广州港,10.20,0.791,新股与次新股,,
002806,华锋股份,42.90,0.775,新股与次新股,,
300520,科大国创,54.06,0.764,新股与次新股,,
603218,日月股份,40.18,0.752,新股与次新股,次新股怎么买 如何炒次新股的奥妙,
603826,坤彩科技,25.90,0.739,新股与次新股,,
300541,先进数通,33.19,0.698,新股与次新股,,
300622,博士眼镜,34.81,0.694,新股与次新股,,
002860,星帅尔,53.36,0.679,新股与次新股,,
300561,汇金科技,53.57,0.677,新股与次新股,,
603615,茶花股份,20.89,0.675,新股与次新股,,
300556,丝路视觉,37.51,0.671,新股与次新股,,
603041,美思德,31.62,0.637,新股与次新股,,
601882,海天精工,19.05,0.634,新股与次新股,,
603298,杭叉集团,23.82,0.634,新股与次新股,,
300562,乐心医疗,37.61,0.615,新股与次新股,,
300580,贝斯特,24.76,0.61,新股与次新股,,
603738,泰晶科技,61.26,0.608,新股与次新股,,
603258,电魂网络,41.50,0.606,新股与次新股,,
603903,中持股份,64.95,0.604,新股与次新股,,
603858,步长制药,73.56,0.602,新股与次新股,,
603901,永创智能,11.70,0.602,新股与次新股,,
002826,易明医药,22.84,0.572,新股与次新股,,
603819,神力股份,28.17,0.571,新股与次新股,,
601163,三角轮胎,27.08,0.557,新股与次新股,,
002802,洪汇新材,56.81,0.549,新股与次新股,,
300533,冰川网络,92.80,0.542,新股与次新股,,
603990,麦迪科技,38.97,0.516,新股与次新股,,
300551,古鳌科技,42.10,0.477,新股与次新股,,
300626,华瑞股份,30.90,0.455,新股与次新股,,
601595,上海电影,28.90,0.452,新股与次新股,,
603668,天马科技,22.83,0.44,新股与次新股,,
603727,博迈科,32.99,0.426,新股与次新股,,
603900,通灵珠宝,34.03,0.413,新股与次新股,,
601500,通用股份,15.20,0.396,新股与次新股,,
603585,苏利股份,56.06,0.376,新股与次新股,,
603358,华达科技,53.02,0.341,新股与次新股,,
603416,信捷电气,50.86,0.316,新股与次新股,点击学习,
603033,三维股份,38.23,0.315,新股与次新股,,
002838,道恩股份,63.19,0.302,新股与次新股,,
300558,贝达药业,56.71,0.283,新股与次新股,,
603839,安正时尚,28.85,0.278,新股与次新股,,
002859,洁美科技,78.68,0.268,新股与次新股,,
002827,高争民爆,28.32,0.248,新股与次新股,,
300550,和仁科技,46.55,0.237,新股与次新股,,
002808,苏州恒久,33.93,0.236,新股与次新股,,
603517,绝味食品,38.30,0.236,新股与次新股,,
603987,康德莱,25.85,0.233,新股与次新股,,
002823,凯中精密,48.22,0.229,新股与次新股,,
603388,元成股份,31.36,0.224,新股与次新股,,
603797,联泰环保,26.88,0.223,新股与次新股,,
603032,德新交运,40.77,0.221,新股与次新股,,
300559,佳发安泰,45.50,0.22,新股与次新股,,
601212,白银有色,9.13,0.22,新股与次新股,,
300616,尚品宅配,125.77,0.215,新股与次新股,,
300642,透景生命,93.78,0.203,新股与次新股,,
603058,永吉股份,25.13,0.199,新股与次新股,,
601966,玲珑轮胎,20.35,0.197,新股与次新股,新股次新股投资热情高涨 玲珑轮胎等股票受追捧,
002830,名雕股份,63.42,0.19,新股与次新股,,
601811,新华文轩,16.51,0.182,新股与次新股,,
300552,万集科技,37.76,0.159,新股与次新股,,
603556,海兴电力,45.09,0.156,新股与次新股,,
603888,新华网,83.76,0.155,新股与次新股,,
300534,陇神戎发,30.10,0.133,新股与次新股,,
603031,安德利,37.95,0.132,新股与次新股,,
300638,广和通,38.46,0.13,新股与次新股,,
002843,泰嘉股份,49.62,0.121,新股与次新股,,
603689,皖天然气,19.95,0.1,新股与次新股,,
300517,海波重科,30.54,0.098,新股与次新股,,
603928,兴业股份,21.63,0.093,新股与次新股,,
300620,光库科技,37.62,0.08,新股与次新股,,
300619,金银河,49.99,0.08,新股与次新股,,
002849,威星智能,37.33,0.054,新股与次新股,,
300584,海辰药业,38.16,0.052,新股与次新股,,
300590,移为通信,62.98,0.048,新股与次新股,,
300570,太辰光,42.63,0.047,新股与次新股,,
300512,中亚股份,21.95,0.046,新股与次新股,,
300631,久吾高科,49.83,0.04,新股与次新股,,
603060,国检集团,29.26,0.034,新股与次新股,,
300516,久之洋,68.58,0.015,新股与次新股,,
300547,川环科技,68.20,0.015,新股与次新股,,
300543,朗科智能,0,0.0,新股与次新股,,
002816,和科达,0,0.0,新股与次新股,,
002820,桂发祥,0,0.0,新股与次新股,,
300518,盛讯达,0,0.0,新股与次新股,,
300526,中潜股份,0,0.0,新股与次新股,,
603559,中通国脉,0,0.0,新股与次新股,,
300612,宣亚国际,0,0.0,新股与次新股,,
603016,新宏泰,0,0.0,新股与次新股,,
603238,诺邦股份,0,0.0,新股与次新股,,
603345,安井食品,0,0.0,新股与次新股,,
002812,创新股份,0,0.0,新股与次新股,,
603909,合诚股份,0,0.0,新股与次新股,,
603313,梦百合,32.86,0.0,新股与次新股,,
603078,江化微,68.26,0.0,新股与次新股,,
601881,中国银河,11.80,0.0,新股与次新股,,
300554,三超新材,58.15,-0.017,新股与次新股,,
300636,同和药业,39.28,-0.026,新股与次新股,,
603159,上海亚虹,39.69,-0.05,新股与次新股,,
300635,达安股份,35.66,-0.056,新股与次新股,,
300569,天能重工,71.72,-0.056,新股与次新股,,
603038,华立股份,51.91,-0.058,新股与次新股,,
300530,达志科技,50.10,-0.06,新股与次新股,,
300593,新雷能,27.63,-0.072,新股与次新股,,
300557,理工光科,55.02,-0.073,新股与次新股,,
603208,江山欧派,51.80,-0.077,新股与次新股,,
600939,重庆建工,12.71,-0.079,新股与次新股,,
300625,三雄极光,35.24,-0.085,新股与次新股,,
603991,至正股份,40.63,-0.098,新股与次新股,,
300537,广信材料,37.78,-0.106,新股与次新股,,
600936,广西广电,8.98,-0.111,新股与次新股,,
603881,数据港,60.99,-0.115,新股与次新股,,
300529,健帆生物,32.17,-0.124,新股与次新股,,
