code,name,trade,percent,category,tilte1,tilte2
603609,禾丰牧业,13.05,10.034,农林牧渔-农产品加工-饲料Ⅲ,,
603668,天马科技,21.07,10.026,农林牧渔-农产品加工-饲料Ⅲ,,
300268,万福生科,31.82,9.99,农林牧渔-农产品加工-其他农产品加工,,
300143,星河生物,26.81,5.634,农林牧渔-种植业与林业-粮食种植,,
002548,金新农,14.53,5.596,农林牧渔-农产品加工-饲料Ⅲ,,
600354,敦煌种业,8.84,4.0,农林牧渔-种植业与林业-种子生产,,
002604,龙力生物,10.84,3.732,农林牧渔-农产品加工-其他农产品加工,,
002041,登海种业,19.62,3.645,农林牧渔-种植业与林业-种子生产,,
002746,仙坛股份,46.02,3.462,农林牧渔-养殖业-畜禽养殖,,
600127,金健米业,6.91,3.289,农林牧渔-农产品加工-粮油加工,,
300313,天山生物,18.00,3.093,农林牧渔-养殖业-畜禽养殖,,
002505,大康农业,3.56,2.89,农林牧渔-养殖业-畜禽养殖,,
002234,民和股份,18.33,2.862,农林牧渔-养殖业-畜禽养殖,,
600201,生物股份,32.38,2.859,农林牧渔-农业服务-动物保健,,
300511,雪榕生物,40.13,2.766,农林牧渔-种植业与林业-粮食种植,,
600962,国投中鲁,17.49,2.762,农林牧渔-农产品加工-果蔬加工,,
002772,众兴菌业,19.92,2.68,农林牧渔-种植业与林业-粮食种植,,
002567,唐人神,12.00,2.652,农林牧渔-农产品加工-饲料Ⅲ,,
600371,万向德农,16.72,2.64,农林牧渔-种植业与林业-种子生产,,
002458,益生股份,28.00,2.639,农林牧渔-养殖业-畜禽养殖,,
600506,香梨股份,25.19,2.607,农林牧渔-种植业与林业-其他种植业,,
002385,大北农,6.67,2.458,农林牧渔-农产品加工-饲料Ⅲ,,
002679,福建金森,36.59,2.35,农林牧渔-种植业与林业-林业Ⅲ,,
600189,吉林森工,11.56,2.301,农林牧渔-种植业与林业-林业Ⅲ,,
603566,普莱柯,24.30,2.058,农林牧渔-农业服务-动物保健,,
002157,正邦科技,6.25,1.958,农林牧渔-农产品加工-饲料Ⅲ,,
600313,农发种业,6.48,1.887,农林牧渔-农业服务-农业综合Ⅲ,,
002477,雏鹰农牧,4.90,1.871,农林牧渔-养殖业-畜禽养殖,,
002447,壹桥股份,9.45,1.832,农林牧渔-养殖业-水产养殖,,
600226,升华拜克,9.29,1.753,农林牧渔-农业服务-动物保健,,
002321,华英农业,9.94,1.74,农林牧渔-养殖业-畜禽养殖,,
600975,新五丰,8.80,1.734,农林牧渔-养殖业-畜禽养殖,,
000713,丰乐种业,10.83,1.69,农林牧渔-种植业与林业-种子生产,,
002688,金河生物,10.36,1.668,农林牧渔-农业服务-动物保健,,
600965,福成股份,13.51,1.655,农林牧渔-养殖业-畜禽养殖,,
300021,大禹节水,18.44,1.654,农林牧渔-农业服务-农业综合Ⅲ,,
600467,好当家,4.36,1.632,农林牧渔-养殖业-水产养殖,,
002311,海大集团,15.00,1.626,农林牧渔-农产品加工-饲料Ⅲ,,
002220,天宝股份,11.94,1.531,农林牧渔-农产品加工-其他农产品加工,,
300106,西部牧业,15.55,1.501,农林牧渔-养殖业-畜禽养殖,,
