code,name,trade,percent,category,tilte1,tilte2
300263,隆华科技,5.34,10.103,OLED,OLED龙头股3日吸金逾41亿 六股迎腾飞契机,OLED概念股集体走强 多家上市公司发声
601208,东材科技,5.13,10.086,OLED,折叠手机推出在即 OLED概念全线爆发,在今天众多的OLED概念一字板个股中，明天大概率将产生一个板块性的龙头，甚至是接替银星能源的市场龙头。领益智造领先一个身位，最先完成三板任务；同兴达、联得装
300128,锦富技术,4.15,10.08,OLED,--,--
002387,维信诺,12.38,10.044,OLED,目前是OLED（AMOLED）热点全面开花，其实分析产业链要分别从制造设备（目前以美德为主）、原材料、零部件、组装线去研究，目前制造设备基本全是进口；OLED面,--
002600,领益智造,3.84,10.029,OLED,--,--
300545,联得装备,27.34,10.02,OLED,折叠手机推出在即 OLED概念全线爆发,OLED股掀涨停潮:受益于可折叠手机 尚存许多技术难题
603110,东方材料,12.96,10.017,OLED,--,--
300097,智云股份,14.50,10.015,OLED,“柔性屏”概念股带动OLED板块上涨,"OLED中分为硬式和柔性OLED,区别较大，请问公司的OLED设备能否都用于柔性OLED中"
300512,中亚股份,14.52,10.0,OLED,公司产品是否有涉及OLED,--
600552,凯盛科技,5.06,10.0,OLED,--,--
002845,同兴达,19.69,10.0,OLED,公司产品是否有涉及OLED,--
000536,华映科技,2.42,10.0,OLED,--,--
600707,彩虹股份,5.84,9.981,OLED,:彩虹股份(600707)彩虹属于oled板块，，请问彩虹能不能生产oled,--
002870,香山股份,19.73,9.978,OLED,--,--
300481,濮阳惠成,16.54,9.973,OLED,--,--
300566,激智科技,15.96,8.794,OLED,--,--
000725,京东方A,3.59,8.459,OLED,--,--
300256,星星科技,3.76,8.046,OLED,2019.2.13涨停复盘：OLED板块掀涨停狂潮 板块内近30只个股涨停,--
300400,劲拓股份,16.59,7.588,OLED,--,--
002660,茂硕电源,6.30,6.961,OLED,--,--
600355,精伦电子,4.37,5.811,OLED,--,--
002585,双星新材,6.21,5.254,OLED,--,--
002450,ST康得新,4.83,5.0,OLED,--,--
000050,深天马A,12.63,4.64,OLED,--,--
600206,有研新材,7.86,4.238,OLED,--,--
300305,裕兴股份,7.91,3.534,OLED,--,--
300537,广信材料,10.62,3.207,OLED,--,--
600458,时代新材,8.29,2.854,OLED,--,--
002326,永太科技,8.88,2.778,OLED,OLED概念股再掀涨停潮,OLED股掀起涨停潮：受益于可折叠手机，尚存许多技术难题
002384,东山精密,13.20,2.564,OLED,--,--
000413,东旭光电,5.08,2.012,OLED,14只OLED龙头股3日吸金逾41亿元,--
300657,弘信电子,36.78,1.658,OLED,--,--
300057,万顺股份,7.31,1.387,OLED,--,--
300395,菲利华,17.82,1.365,OLED,--,--
300576,容大感光,15.76,1.09,OLED,--,--
300037,新宙邦,27.51,0.769,OLED,--,--
300296,利亚德,7.22,0.417,OLED,--,--
002371,北方华创,48.47,0.414,OLED,--,--
600961,株冶集团,8.25,0.365,OLED,--,--
603920,世运电路,12.21,0.164,OLED,--,--
002217,合力泰,6.78,0.148,OLED,--,--
600363,联创光电,8.94,0.112,OLED,--,--
300666,江丰电子,39.84,0.05,OLED,--,--
002456,欧菲科技,11.81,0.0,OLED,--,--
002618,丹邦科技,16.04,-0.311,OLED,--,--
300134,大富科技,10.90,-0.366,OLED,--,--
600667,太极实业,6.00,-0.498,OLED,--,--
002008,大族激光,37.18,-0.588,OLED,--,--
600460,士兰微,10.96,-0.635,OLED,--,--
002885,京泉华,21.55,-0.646,OLED,--,--
300429,强力新材,31.24,-0.825,OLED,--,--
600330,天通股份,7.03,-0.846,OLED,--,--
000012,南玻A,4.68,-0.849,OLED,--,--
000100,TCL集团,3.30,-0.901,OLED,--,--
002055,得润电子,12.25,-1.05,OLED,--,--
002426,胜利精密,2.78,-1.064,OLED,--,--
603228,景旺电子,52.39,-1.151,OLED,--,--
300655,晶瑞股份,14.75,-1.338,OLED,--,--
002876,三利谱,42.05,-1.407,OLED,--,--
002341,新纶科技,12.84,-1.458,OLED,--,--
000810,创维数字,7.22,-1.501,OLED,--,--
603773,沃格光电,45.51,-1.6,OLED,--,--
000973,佛塑科技,4.00,-1.72,OLED,--,--
002643,万润股份,11.56,-1.783,OLED,--,--
300327,中颖电子,23.50,-1.837,OLED,--,--
603985,恒润股份,25.67,-1.948,OLED,--,--
300088,长信科技,5.24,-2.056,OLED,--,--
000045,深纺织A,6.35,-2.157,OLED,--,--
600839,四川长虹,2.63,-2.231,OLED,--,--
000990,诚志股份,12.31,-2.302,OLED,--,--
300054,鼎龙股份,7.99,-2.323,OLED,--,--
300433,蓝思科技,7.25,-2.423,OLED,--,--
300476,胜宏科技,12.48,-2.5,OLED,--,--
002036,联创电子,10.42,-2.526,OLED,--,--
300346,南大光电,10.80,-2.615,OLED,--,--
300567,精测电子,61.57,-3.858,OLED,--,--
