code,name,trade,percent,category,tilte1,tilte2
000677,恒天海龙,3.8,10.145,国资整合;央企国资改革;石墨烯,--,--
002681,奋达科技,9.41,10.059,苹果概念;腾讯概念;智能眼镜,--,--
603309,维力医疗,19.64,10.028,医疗器械;并购重组,--,--
603386,广东骏亚,18.88,10.023,新股与次新股,--,--
300312,邦讯技术,9.88,10.022,O2O概念;互联网金融;移动入,--,--
000014,沙河股份,11.76,10.009,工业用地;央企整合;深圳国资改,--,--
300348,长亮科技,28.25,10.008,智慧城市;互联网银行;金融信息,--,--
002848,高斯贝尔,15.5,10.007,数字电视;智能家居,--,--
002806,华锋股份,36.39,10.006,铝材加工;新能源汽车;铝,--,--
002903,宇环数控,45.3,10.005,苹果概念;机器人概念;工业4.,--,--
300519,新光药业,25.51,10.004,村镇银行;中医药;小额贷款,--,--
603348,文灿股份,29.25,10.004,特斯拉;新股与次新股,--,--
300743,天地数码,25.62,10.004,新股与次新股,--,--
603733,仙鹤股份,33.43,10.003,新股与次新股;双胶纸,--,--
002889,东方嘉盛,30.25,10.0,新股与次新股;跨境电商;大数据,--,--
002931,锋龙股份,54.69,9.996,新股与次新股;园林开发,--,--
603596,伯特利,26.3,9.996,新股与次新股,--,--
300693,盛弘股份,38.08,9.994,新股与次新股;充电桩,--,--
002795,永和智控,17.94,9.994,人民币贬值概念,--,--
300278,华昌达,8.7,9.987,轨道交通;航空航天;军用机器人,--,--
002401,中远海科,13.0,9.983,MSCI潜力股;现代服务业;智,--,--
002555,三七互娱,14.89,9.971,参股新三板;文化传媒;参股36,--,--
600888,新疆众和,6.18,9.964,一带一路;新疆振兴;国开行,--,--
300272,开能环保,11.31,8.126,净水器;美丽中国;养老概念,--,--
002458,益生股份,17.95,8.067,猪肉;农业合作社;家禽养殖,--,--
600620,天宸股份,8.32,8.052,养老地产;上海国资改革;老龄化,--,--
000735,罗牛山,9.29,8.023,农垦改革;参股新三板;聚土地概,--,--
600621,华鑫股份,14.23,7.477,参股外资金融;上海国资改革;参,--,--
600983,惠而浦,6.34,7.458,太阳能热水器;家用电器;证金持,--,--
002377,国创高新,7.3,7.353,天然气;沥青;小额贷款,--,--
300653,正海生物,51.22,7.155,新股与次新股,--,--
600387,海越股份,9.48,6.757,股权转让;尾气治理;油品升级,--,--
600552,凯盛科技,7.0,6.707,玻璃纤维;央企国资改革;智能玻,--,--
601198,东兴证券,14.57,6.662,MSCI概念;债转股;融资融券,--,--
000635,英力特,12.02,6.655,石灰石;央企国资改革;3D打印,--,--
002776,柏堡龙,19.93,6.635,虚拟现实,--,--
002896,中大力德,44.78,6.619,新股与次新股,--,--
002760,凤形股份,23.19,6.376,汽车制造概念;节能减排,--,--
600329,中新药业,17.68,6.314,抗癌;地方国资改革;青蒿素,--,--
300701,森霸传感,42.5,6.117,节能照明;安防;传感器,--,--
603283,赛腾股份,30.18,6.081,工业4.0;苹果概念;新股与次,--,--
603773,沃格光电,87.79,6.065,新股与次新股;白马股,--,--
300526,中潜股份,20.55,6.037,体育产业;潜水运动,--,--
300690,双一科技,33.06,5.996,碳纤维;风电;高送转,--,--
002725,跃岭股份,15.52,5.794,汽车制造概念;芯片制造;光通信,--,--
603338,浙江鼎力,63.27,5.432,军民融合;军工;工业4.0,--,--
002514,宝馨科技,6.92,5.327,节能环保;环境监测,--,--
603877,太平鸟,29.14,5.275,沪股通;商品新零售;新零售,--,--
000692,惠天热电,4.01,5.249,地方国资改革;振兴东北;抗寒,--,--
002635,安洁科技,18.13,5.223,WIN升级;SDR概念;特斯拉,--,--
002596,海南瑞泽,10.09,5.104,新型城镇化;互联网金融;三沙,--,--
600234,ST山水,10.52,4.99,电子信息;股权转让;ST板块,--,--
600693,东百集团,6.63,4.905,平潭免税区;新零售;沪股通,--,--
600132,重庆啤酒,27.19,4.9,欧洲杯;成渝特区;厄尔尼诺概念,--,--
300419,浩丰科技,8.81,4.756,大数据,--,--
300046,台基股份,21.93,4.728,沪台通;芯片概念;IGBT,--,--
300277,海联讯,10.45,4.709,供应链金融;智能电网;股权转让,--,--
002600,领益智造,6.94,4.676,永磁高铁;稀土永磁;小额贷款,--,--
300663,科蓝软件,34.95,4.672,互联网金融;国产软件;移动支付,--,--
603989,艾华集团,34.93,4.644,铝电解电容;沪股通;节能照明,--,--
600577,精达股份,4.34,4.578,低碳;互联网金融;电子商务,--,--
300572,安车检测,86.87,4.575,高送转,--,--
002432,九安医疗,10.06,4.574,腾讯概念;微信概念;滨海新区,--,--
000687,华讯方舟,11.74,4.541,虚拟现实;共享单车;京津冀一体,--,--
600703,三安光电,20.93,4.493,激光器;智能终端;分布式发电,--,--
600563,法拉电子,46.89,4.479,央视财经50;元器件;超级电容,--,--
603189,网达软件,16.1,4.41,移动互联网;电子政务,--,--
603080,新疆火炬,33.68,4.402,天然气;新股与次新股,--,--
002913,奥士康,44.63,4.325,富士康概念;小米概念;通信基站,--,--
002419,天虹股份,14.79,4.302,微信概念;移动购物;O2O概念,--,--
300506,名家汇,22.35,4.293,节能减排;节能照明;低碳,--,--
603839,安正时尚,23.25,4.26,她经济,--,--
603069,海汽集团,9.88,4.219,地方国资改革,--,--
002881,美格智能,34.13,4.214,物联网;5G;新股与次新股,--,--
002559,亚威股份,9.18,4.2,3D打印;机器人概念;工业4.,--,--
002769,普路通,17.87,4.198,电子信息;深股通;小米概念,--,--
300687,赛意信息,53.5,4.167,新股与次新股;高送转,--,--
300731,科创新源,31.7,4.139,橡胶;新股与次新股,--,--
002819,东方中科,29.0,4.129,中科院概念;央企国资改革;成泉,--,--
002258,利尔化学,21.19,4.128,吡啶;成渝特区;生物农药,--,--
300122,智飞生物,44.87,4.107,冠状病毒;结核病;抗癌,--,--
002137,麦达数字,10.66,4.102,文化传媒;微信小程序;SAAS,--,--
300657,弘信电子,37.11,4.095,柔性电子;OLED;新股与次新,--,--
002541,鸿路钢构,14.14,4.047,线材;工业4.0;PPP概念,--,--
300408,三环集团,23.96,4.038,指纹技术;宽带中国;陶瓷电容,--,--
600369,西南证券,4.45,3.972,地方国资改革;参股基金;两江新,--,--
300076,GQY视讯,6.08,3.932,人脸识别;机器人概念;增强现实,--,--
