code,name,trade,percent,category,tilte1,tilte2
000001,上证指数,3065.46,-0.51,3074.52,,
399001,深证成指,10290.73,-0.525,10329.16,,
399006,创业板指,1784.86,-0.976,1797.12,,
002681,奋达科技,9.41,10.059,小米概念;智能手表;智能音箱,,
603309,维力医疗,19.64,10.028,医疗器械;并购重组,,
603386,广东骏亚,18.88,10.023,新股与次新股,,
300348,长亮科技,28.25,10.008,智慧城市;金融信息服务;互联网,,
300519,新光药业,25.51,10.004,中医药;小额贷款;村镇银行,,
300743,天地数码,25.62,10.004,新股与次新股,,
002889,东方嘉盛,30.25,10.0,新股与次新股;跨境电商;大数据,,
603596,伯特利,26.3,9.996,新股与次新股,,
002931,锋龙股份,54.69,9.996,新股与次新股;园林开发,,
300693,盛弘股份,38.08,9.994,新股与次新股;充电桩,,
002401,中远海科,13,9.983,智慧城市;央企国资改革;MSC,,
600888,新疆众和,6.18,9.964,一带一路;新疆振兴;国开行,,
603733,仙鹤股份,33.29,9.674,新股与次新股;双胶纸,,
600620,天宸股份,8.31,7.922,养老地产;上海国资改革;老龄化,,
002458,益生股份,17.92,7.887,猪肉;农业合作社;家禽养殖,,
300653,正海生物,51.49,7.72,新股与次新股,,
002377,国创高新,7.3,7.353,小额贷款;沥青;天然气,,
002776,柏堡龙,19.92,6.528,虚拟现实,,
603189,网达软件,16.31,5.707,移动互联网;电子政务,,
002635,安洁科技,18.08,4.991,智能终端;SDR概念;特斯拉,,
603773,沃格光电,87,4.99,新股与次新股;白马股,,
002896,中大力德,43.9,4.762,新股与次新股,,
600693,东百集团,6.62,4.747,新零售;平潭免税区;沪股通,,
002600,领益智造,6.94,4.676,永磁高铁;触摸屏;电子信息,,
300277,海联讯,10.42,4.609,智能电网;供应链金融;股权转让,,
002819,东方中科,29.11,4.524,中科院概念;央企国资改革;成泉,,
600563,法拉电子,46.8,4.278,元器件;央视财经50;超级电容,,
002541,鸿路钢构,14.14,4.047,线材;工业4.0;PPP概念,,
300731,科创新源,31.7,3.844,橡胶;新股与次新股,,
002888,惠威科技,32.81,3.6,新股与次新股;智能音箱,,
002509,天广中茂,4.65,3.556,舟山自贸区;循环经济;生态农业,,
002755,东方新星,26.92,3.537,油气装备;高送转,,
600135,乐凯胶片,9.03,3.436,雄安地产;人工降雨;雄安新区,,
603535,嘉诚国际,24.6,3.361,自由贸易港;新股与次新股;平台,,
002881,美格智能,33.92,3.359,物联网;5G;新股与次新股,,
600885,宏发股份,39.45,3.326,中部崛起;光热;光伏玻璃,,
300088,长信科技,6.54,3.155,智能终端;WIN升级;智能眼镜,,
002523,天桥起重,5.65,3.108,智慧停车;地方国资改革;核电,,
300739,明阳电路,48.2,3.101,新股与次新股,,
002930,宏川智慧,27,3.093,新股与次新股,,
300444,双杰电气,17.11,3.003,智能电网;高送转;锂电隔膜,,
002108,沧州明珠,7.63,2.969,雄安新区;线型;高性能膜,,
600999,招商证券,16.92,2.918,央企国资改革;MSCI概念;招,,
300670,大烨智能,30.36,2.846,智能电网;新股与次新股;高送转,,
600027,华电国际,3.64,2.825,央企整合;央企国资改革;MSC,,
300341,麦迪电气,7.07,2.762,智能电网;医疗器械;证金持股,,
300498,温氏股份,21.18,2.717,猪肉;融资融券;深股通,,
300687,赛意信息,52.73,2.667,新股与次新股;高送转,,
600636,三爱富,15.1,2.582,新材料概念;地方国资改革;军工,,
600810,神马股份,10.37,2.572,循环经济;河南国资改革;地方国,,
300656,民德电子,46.46,2.561,智能终端;无人驾驶;无人零售,,
000501,鄂武商A,13.8,2.526,新零售;中部崛起;收入改革,,
300633,开立医疗,39.34,2.494,医疗器械,,
300007,汉威科技,14.88,2.479,仪电仪表;防辐射;环境监测,,
603569,长久物流,23.98,2.477,一带一路;雄安新区;沪股通,,
000952,广济药业,13.32,2.465,医保;外贸;医疗改革,,
000810,创维数字,8.43,2.433,增强现实;数字电视;柔性电子,,
603506,南都物业,39.33,2.335,新股与次新股;白马股,,
603278,大业股份,18.19,2.306,新股与次新股,,
603357,设计总院,21.45,2.238,新股与次新股;白马股,,
600409,三友化工,8.62,2.138,新能源汽车;锂电池;上海自贸区,,
002476,宝莫股份,5.35,2.099,页岩气;油气开采;海岛整治修复,,
300609,汇纳科技,33.98,2.073,智慧停车;大数据;无人零售,,
002859,洁美科技,36.72,2.028,元器件;电阻;深股通,,
002661,克明面业,12.14,2.017,小额贷款;参股民营银行;面粉,,
002221,东华能源,11.19,2.006,新能源;页岩气;丙烷脱氢,,
000411,英特集团,24.68,1.984,医保;央企国资改革;医疗器械,,
601888,中国国旅,57.4,1.954,五一出境游;MSCI概念;中字,,
300428,四通新材,14.61,1.954,新材料概念;雄安新区;汽车制造,,
600962,国投中鲁,10.97,1.952,央企控股;国投系;央企国资改革,,
002369,卓翼科技,9.47,1.938,小米概念;智能路由器;网络电视,,
300684,中石科技,71,1.924,新材料概念;5G;新股与次新股,,
600660,福耀玻璃,23.52,1.906,央视财经50;MSCI概念;玻,,
600260,凯乐科技,29.59,1.895,智能交通;白酒;新材料概念,,
002179,中航光电,38.77,1.892,央企控股;军民融合;新能源汽车,,
002809,红墙股份,25.55,1.874,雄安新区,,
000042,中洲控股,15.79,1.871,一带一路;深圳国资改革;工业用,,
002892,科力尔,30.75,1.821,新股与次新股,,
300644,南京聚隆,42.67,1.813,消防装备;聚丙烯;新能源汽车,,
300140,中环装备,11.32,1.797,雄安新区;智能电网;新材料概念,,
300605,恒锋信息,27.23,1.794,智慧城市;数字中国,,
603030,全筑股份,7.96,1.79,智能家居;服务机器人;机器人概,,
601099,太平洋,2.84,1.786,众筹概念;MSCI概念;互联网,,
300183,东软载波,17.7,1.782,央视财经50;创投;一带一路,,
300232,洲明科技,16.59,1.778,小间距LED;节能照明;合同能,,
300654,世纪天鸿,30.93,1.777,在线教育;文化传媒;K12教育,,
000507,珠海港,9.83,1.758,珠港澳物流合作园;新能源;PT,,
002624,完美世界,34.4,1.738,虚拟现实;IP概念;参股新三板,,
600230,沧州大化,36.56,1.725,央企整合;MSCI概念;TDI,,
603709,中源家居,28.99,1.719,养老概念;新股与次新股,,
002202,金风科技,17.87,1.708,仪电仪表;MSCI概念;碳税,,
601008,连云港,4.21,1.691,一带一路;中韩自贸区;地方国资,,
002927,泰永长征,49.6,1.681,新股与次新股,,
300705,九典制药,49.84,1.631,新股与次新股;高送转,,
002902,铭普光磁,31.2,1.629,新股与次新股;5G,,
600848,上海临港,23.45,1.603,园林开发;租售同权;自由贸易港,,
600028,中国石化,6.97,1.601,油气管网;央企国资改革;油品改,,
600190,锦州港,3.83,1.592,中韩自贸区;一带一路;参股券商,,
002922,伊戈尔,23.74,1.583,新能源汽车;节能照明;新能源,,
300561,汇金科技,41.13,1.58,物联网;人工智能;高送转,,
002758,华通医药,9.08,1.566,物流骨干网;中医药,,
002602,世纪华通,35.16,1.559,虚拟现实;网络游戏;互联网保险,,
002522,浙江众成,11.75,1.556,新材料概念;嘉兴土改;新版人民,,
000933,神火股份,6.65,1.527,稀缺煤;MSCI概念;动力煤,,
300302,同有科技,12.74,1.516,云计算;数据存储;军工,,
002126,银轮股份,8.79,1.503,小额贷款;废气处理;量子通信,,
603059,倍加洁,42.41,1.46,新股与次新股,,
600742,一汽富维,14.59,1.46,振兴东北;央企整合;央企控股,,
002052,同洲电子,5.59,1.455,智能交通;股权转让;电子信息,,
603897,长城科技,41.3,1.448,新股与次新股,,
300166,东方国信,15.53,1.437,养老概念;沪伦通;大数据,,
603969,银龙股份,12.1,1.425,雄安基建;雄安新区;一带一路,,
002824,和胜股份,13.9,1.387,新能源汽车;铝,,
300621,维业股份,19.96,1.371,租售同权;雄安新区,,
300061,康旗股份,13.68,1.343,智能穿戴;职业教育;智能眼镜,,
600125,铁龙物流,8.33,1.338,央企国资改革;振兴东北;铁路基,,
300638,广和通,39.48,1.335,移动互联网;移动支付;阿里巴巴,,
300073,当升科技,25.14,1.33,新能源;特斯拉;高考,,
601016,节能风电,3.05,1.329,央企国资改革;沪股通;风电,,
300114,中航电测,10.72,1.323,央企国资改革;嫦娥概念;军民融,,
600973,宝胜股份,4.6,1.322,央企国资改革;铁路基建;铜,,
000823,超声电子,8.5,1.31,元器件;WIN升级;智能终端,,
600127,金健米业,3.9,1.299,油菜籽;粳稻;食用油,,
300698,万马科技,25.82,1.255,智能医疗;5G;光通信设备,,
000631,顺发恒业,4.09,1.241,新型城镇化;参股民营银行;融资,,
300711,广哈通信,22.99,1.232,专网通信;军民融合;新股与次新,,
300588,熙菱信息,30.78,1.217,智能交通;网络安全;智能建筑,,
300679,电连技术,74.52,1.195,移动射频;新股与次新股;高送转,,
600406,国电南瑞,17.85,1.191,一带一路;MSCI潜力股;有轨,,
000783,长江证券,6.89,1.173,央企整合;参股新三板;MSCI,,
603161,科华控股,23.64,1.155,新股与次新股,,
603180,金牌厨柜,143.8,1.146,新股与次新股,,
002236,大华股份,23.09,1.138,智能终端;增强现实;安防,,
000758,中色股份,5.41,1.122,稀有金属;铌;东盟自贸区,,
603871,嘉友国际,70.85,1.113,一带一路;新股与次新股;航运港,,
300107,建新股份,11.1,1.094,雄安金融;分散染料;雄安新区,,
300496,中科创达,36.31,1.086,物联网;智能电视;车联网,,
300100,双林股份,14.08,1.076,油价下调;无人驾驶;深股通,,
000785,武汉中商,9.37,1.076,武汉金改;移动购物;地方国资改,,
603507,振江股份,27.5,1.066,新能源;风电;新股与次新股,,
002265,西仪股份,12.45,1.056,央企国资改革;航天军工;军工,,
300159,新研股份,9.72,1.04,新疆自贸区;一号文件;深股通,,
002475,立讯精密,21.5,1.034,一带一路;智能终端;智能音箱,,
300479,神思电子,17.81,1.021,无人零售;智能终端;G20峰会,,
002154,报喜鸟,3.05,0.993,在线教育;O2O概念;大数据,,
600780,通宝能源,4.18,0.971,致密气;地方国资改革;证金持股,,
600398,海澜之家,12.57,0.963,智能物流;核污染防治;二胎概念,,
603018,中设集团,16.98,0.951,一带一路;中科系;恒大概念,,
603803,瑞斯康达,15.95,0.949,智能电网;沪股通;5G,,
300477,合纵科技,25.87,0.936,智能电网;锂电池;小金属,,
300699,光威复材,54.15,0.914,新材料概念;军民融合;航空航天,,
002567,唐人神,5.53,0.912,雄安新区;饲料;猪肉,,
600006,东风汽车,4.43,0.911,央企国资改革;新能源物流车;网,,
002929,润建通信,47.76,0.908,雄安新区;5G;新股与次新股,,
603619,中曼石油,34.71,0.901,一带一路;天然气;新股与次新股,,
300718,长盛轴承,43.07,0.89,新股与次新股;高送转,,
300709,精研科技,47.1,0.857,智能穿戴;新股与次新股,,
