code,name,trade,percent,category,tilte1,tilte2
300021,大禹节水,7.29,7.049,雄安新区,青龙管业三连板 游资大佬“击鼓传花”,大禹节水：关于竞拍取得北京国泰节水发展股份有限公司19%股权的提示性公告
300107,建新股份,10.66,5.859,雄安新区,为什么国家队都重仓买入雄安新区这些股票？,雄安新区规划纲要全文发布利好哪些股票？
002717,岭南股份,13.16,3.786,雄安新区,封面 20180423z1,
002573,清新环境,14.32,3.319,雄安新区,请问公司业务涉及雄安新区吗？,
600578,京能电力,3.53,3.216,雄安新区,,
603569,长久物流,23.22,3.2,雄安新区,,
000958,东方能源,4.3,3.118,雄安新区,,
300334,津膜科技,10.53,2.732,雄安新区,,
000965,天保基建,5.5,2.612,雄安新区,,
000018,神州长城,6.02,2.555,雄安新区,【中证盘前播报】乐视网拟30亿收购乐视金融；与格力“你侬我侬”的海立股份今复牌；二次股改方案被拒，S佳通今日复牌或迎大考……,
600812,华北制药,4.54,2.483,雄安新区,中央正式批复雄安新区规划！不容错过的雄安主题投资机会！,华北制药2017年年度报告
603019,中科曙光,51.14,2.28,雄安新区,中科曙光2017年年度报告,中科曙光2017年年度报告摘要
300070,碧水源,18.87,2.055,雄安新区,,
603903,中持股份,31.88,1.853,雄安新区,,
300649,杭州园林,32.7,1.774,雄安新区,,
002271,东方雨虹,36.4,1.421,雄安新区,,
600846,同济科技,8.8,1.149,雄安新区,雄安再迎利好北京高规格支持 主力杀入同济科技等5股,
300055,万邦达,15.95,1.141,雄安新区,,
300675,建科院,37.33,1.138,雄安新区,,
300255,常山药业,6.6,1.072,雄安新区,,
001979,招商蛇口,21.73,1.023,雄安新区,,
002310,东方园林,19.25,0.891,雄安新区,,
300368,汇金股份,7.69,0.786,雄安新区,请问贵公司是否拥有雄安新区项目订单？,
600629,华建集团,13.97,0.721,雄安新区,,
600061,国投资本,11.88,0.593,雄安新区,,
002230,科大讯飞,53.09,0.587,雄安新区,,
600722,金牛化工,5.97,0.505,雄安新区,,
600230,沧州大化,35.78,0.393,雄安新区,,
603050,科林电气,15.95,0.378,雄安新区,,
603385,惠达卫浴,16.45,0.366,雄安新区,,
300140,中环装备,11.14,0.36,雄安新区,,
002658,雪迪龙,9.78,0.308,雄安新区,午间公告：雪迪龙雄安新区设子公司 两家公司披露业绩快报,
002305,南国置业,3.58,0.28,雄安新区,,
600170,上海建工,3.62,0.277,雄安新区,,
300041,回天新材,10.14,0.198,雄安新区,,
000600,建投能源,6.33,0.158,雄安新区,,
002580,圣阳股份,6.47,0.155,雄安新区,,
000062,深圳华强,21.89,0.091,雄安新区,,
600874,创业环保,12.27,0.082,雄安新区,,
300495,美尚生态,14.52,0.069,雄安新区,,
603616,韩建河山,15.47,0.065,雄安新区,,
600764,中国海防,0,0.0,雄安新区,,
600221,海航控股,0,0.0,雄安新区,,
300491,通合科技,0,0.0,雄安新区,,
002011,盾安环境,0,0.0,雄安新区,,
000939,凯迪生态,0,0.0,雄安新区,,
000826,启迪桑德,0,0.0,雄安新区,,
000711,京蓝科技,0,0.0,雄安新区,,
000616,海航投资,0,0.0,雄安新区,,
000593,大通燃气,0,0.0,雄安新区,,
