code,name,trade,percent,category,tilte1,tilte2
300348,长亮科技,32.63,10.014,智慧城市;金融信息服务;互联网,,
600112,天成控股,5.2,9.937,智慧城市;智能电网;黔中经济区,,
603036,如通股份,15.72,7.598,一带一路;油气装备;机械装备,,
603619,中曼石油,37,6.23,一带一路;天然气;新股与次新股,,
300253,卫宁健康,12.98,6.046,智慧城市;智能医疗;人工智能,,
000703,恒逸石化,23.68,5.951,一带一路;PTA涨价;互联网金,,
603218,日月股份,19.72,5.908,一带一路;机械装备,,
300044,赛为智能,18.92,5.757,智慧城市;智能建筑;人工智能,,
300020,银江股份,12.25,5.331,智慧城市;智慧停车;智能交通,,
603869,北部湾旅,20.15,5.112,智慧城市;智能交通;航运,,
002298,中电鑫龙,8.92,4.941,智慧城市;智能电网;G20峰会,,
603338,浙江鼎力,64.38,4.853,一带一路;军民融合;军工,,
002368,太极股份,32.22,4.746,智慧城市;智能终端;大数据反恐,,
300605,恒锋信息,28.15,4.453,智慧城市;数字中国,,
002828,贝肯能源,23.93,4.452,一带一路;油气开采;天然气,,
002353,杰瑞股份,16.96,4.369,一带一路;海洋经济;MSCI潜,,
601117,中国化学,7.76,4.161,一带一路;央企国资改革;MSC,,
002405,四维图新,26.66,4.1,智慧城市;智能交通;智能汽车,,
300351,永贵电器,15.78,4.09,一带一路;铁路基建;军民融合,,
600339,中油工程,3.87,4.032,一带一路;期货概念;新疆振兴,,
603636,南威软件,11.02,3.962,智慧城市;PPP概念;网络安全,,
002554,惠博普,3.72,3.911,一带一路;油气开采;油气装备,,
300732,设研院,82.51,3.852,一带一路;高送转;新股与次新股,,
600797,浙大网新,13.5,3.846,智慧城市;人工智能;高校,,
300287,飞利信,10.03,3.83,智慧城市;智慧党建;流媒体,,
002410,广联达,27.54,3.729,智慧城市;MSCI潜力股;央视,,
300075,数字政通,17.62,3.647,智慧城市;智慧党建;智能医疗,,
601500,通用股份,9.16,3.503,一带一路,,
002474,榕基软件,9.63,3.437,智慧城市;智慧党建;电子信息,,
300036,超图软件,20.3,3.413,智慧城市;智能交通;地下管网,,
000852,石化机械,8.41,3.317,一带一路;致密气;油页岩,,
300368,汇金股份,7.67,3.23,智慧城市;智能服务;SDR概念,,
600202,*ST哈空,4.91,3.151,一带一路;核电;振兴东北,,
300374,恒通科技,14.42,3.147,一带一路;雄安基建;装配式建筑,,
000425,徐工机械,4.29,3.125,一带一路;工业互联网;地方国资,,
600125,铁龙物流,8.62,3.11,一带一路;铁路基建;铁路混改,,
300231,银信科技,10.3,3.103,智慧城市;互联网银行;参股新三,,
600176,中国巨石,14.7,3.086,一带一路;融资租赁;工业4.0,,
300212,易华录,34.53,3.075,智慧城市;京津冀一体化;智能交,,
000066,中国长城,8.9,3.009,智慧城市;人工智能;央企整合,,
000997,新大陆,18.9,2.997,智慧城市;智能交通;互联网金融,,
300523,辰安科技,65.95,2.966,一带一路;智慧城市;高校,,
600271,航天信息,25.71,2.964,智慧城市;人工智能;人脸识别,,
002738,中矿资源,22.9,2.921,一带一路;锂电原料;锂电池,,
600105,永鼎股份,6.14,2.848,一带一路;宽带中国;大数据,,
002439,启明星辰,25.02,2.752,智慧城市;军民融合;MSCI潜,,
601808,中海油服,10.59,2.716,一带一路;燃油;海工装备,,
600602,云赛智联,7.59,2.706,智慧城市;云计算;地方国资改革,,
002583,海能达,11.01,2.705,智慧城市;宽带中国;安防,,
000988,华工科技,15.59,2.701,智慧城市;宽带中国;新材料概念,,
300691,联合光电,64.69,2.699,智慧城市;智能家居;无人机,,
600583,海油工程,5.72,2.693,一带一路;高端装备;MSCI概,,
600580,卧龙电气,8.95,2.638,一带一路;特高压;安防,,
002207,*ST准油,7.82,2.625,一带一路;ST板块;新疆发展,,
600256,广汇能源,4.31,2.619,一带一路;新疆电源项目;新疆振,,
000938,紫光股份,73.69,2.618,智慧城市;智能路由器;人工智能,,
002777,久远银海,34.3,2.603,智慧城市;大数据;国产软件,,
603569,长久物流,24.9,2.554,一带一路;雄安新区;沪股通,,
002205,国统股份,15.12,2.509,一带一路;雄安基建;南水北调,,
600406,国电南瑞,18.49,2.495,一带一路;智能电网;MSCI潜,,
002323,雅百特,6.17,2.492,一带一路;智能建筑;光伏概念,,
603660,苏州科达,37.74,2.471,智慧城市;人脸识别;安防,,
300183,东软载波,18.36,2.455,一带一路;智能家居;智能电网,,
300208,恒顺众昇,10.87,2.451,一带一路;智能电网;融资租赁,,
600028,中国石化,7.18,2.425,一带一路;油气管网;央企国资改,,
300552,万集科技,24.77,2.398,智慧城市;智能交通;激光器,,
002178,延华智能,7.53,2.31,智慧城市;智能建筑;智能交通,,
002040,南京港,11.08,2.308,一带一路;长江经济带;黄金水道,,
002230,科大讯飞,55.45,2.306,智慧城市;智慧党建;智能家居,,
300353,东土科技,16.16,2.279,智慧城市;宽带中国;智能交通,,
600831,广电网络,8.18,2.25,智慧城市;智能终端;三网融合,,
002767,先锋电子,17.99,2.216,智慧城市;证金持股;物联网,,
002331,皖通科技,10.73,2.191,智慧城市;集成电路;智能交通,,
000555,神州信息,15.4,2.19,智慧城市;国产软件;深股通,,
000905,厦门港务,9.35,2.186,一带一路;自由贸易港;无人岛开,,
600718,东软集团,15.16,2.156,智慧城市;智慧停车;智能医疗,,
002456,欧菲科技,18.15,2.138,智慧城市;智能终端;智能汽车,,
600869,智慧能源,5.31,2.115,智慧城市;智能电网;特高压,,
001979,招商蛇口,22.55,2.082,智慧城市;人工智能;雄安新区,,
300155,安居宝,6.07,2.017,智慧城市;智慧停车;智能家居,,
603298,杭叉集团,14.23,2.007,一带一路;新能源汽车;沪股通,,
300098,高新兴,14.89,1.986,智慧城市;人工智能;增强现实,,
300096,易联众,11.01,1.944,智慧城市;智能医疗;互联网银行,,
000065,北方国际,14.76,1.934,一带一路;马歇尔计划;太阳能,,
300065,海兰信,16.98,1.921,一带一路;海洋经济;电子信息,,
603871,嘉友国际,72.2,1.905,一带一路;新股与次新股;航运港,,
600728,佳都科技,8.61,1.894,智慧城市;智能终端;人工智能,,
000159,国际实业,4.33,1.882,一带一路;新疆振兴;稀缺资源,,
000617,中油资本,13.17,1.856,一带一路;煤层气;参股券商,,
600601,方正科技,3.33,1.835,智慧城市;依法治国概念;老八股,,
002401,中远海科,13.96,1.824,智慧城市;智能交通;央企国资改,,
601857,中国石油,7.84,1.818,一带一路;可燃冰;油品改革,,
600449,宁夏建材,9.59,1.805,一带一路;央企国资改革;石灰石,,
002253,川大智胜,20.08,1.774,智慧城市;人工智能;智能交通,,
002307,北新路桥,10.67,1.716,一带一路;公路建设;参股新三板,,
600477,杭萧钢构,8.46,1.683,一带一路;新型城镇化;杭州湾大,,
603588,高能环境,11.61,1.664,一带一路;固废处理;垃圾发电,,
000948,南天信息,11.75,1.644,智慧城市;大数据;音乐产业,,
601880,大连港,2.49,1.633,一带一路;中韩自贸区;环渤海,,
300167,迪威迅,7.48,1.63,智慧城市;智能交通;超材料概念,,
600801,华新水泥,15,1.626,一带一路;节能环保;国际板,,
000909,数源科技,9.47,1.609,智慧城市;智慧停车;智能电视,,
000088,盐田港,7.63,1.598,一带一路;MSCI潜力股;油改,,
300324,旋极信息,16.07,1.58,智慧城市;手机游戏;参股民营银,,
600118,中国卫星,22.7,1.566,一带一路;军工改制;MSCI概,,
300275,梅安森,12.59,1.532,智慧城市;长江经济带;工业4.,,
002308,威创股份,9.3,1.528,智慧城市;全息手机;小间距LE,,
000151,中成股份,15.38,1.518,一带一路;人民币贬值概念;海水,,
