code,name,trade,percent,category,tilte1,tilte2
000777,中核科技,12.83,7.185,央企国资控股,--,--
000503,国新健康,15.72,6.798,央企国资控股,--,--
603888,新华网,14.11,5.142,央企国资控股,--,--
000547,航天发展,9.16,4.205,央企国资控股,--,--
600517,置信电气,3.80,4.11,央企国资控股,--,--
000881,中广核技,7.35,3.972,央企国资控股,--,--
600579,天华院,8.87,3.26,央企国资控股,--,--
002268,卫士通,21.42,3.08,央企国资控股,--,--
600088,中视传媒,9.07,2.951,央企国资控股,--,--
600875,东方电气,9.31,2.759,央企国资控股,--,--
603000,人民网,9.08,2.712,央企国资控股,--,--
002106,莱宝高科,6.89,2.683,央企国资控股,--,--
000958,东方能源,3.60,2.564,央企国资控股,--,--
300425,环能科技,4.82,2.336,央企国资控股,--,--
600489,中金黄金,8.37,2.323,央企国资控股,--,--
002080,中材科技,9.30,2.31,央企国资控股,--,--
002258,利尔化学,14.84,2.274,央企国资控股,--,--
601611,中国核建,6.94,2.209,央企国资控股,--,--
001872,招商港口,15.27,2.141,央企国资控股,--,--
601088,中国神华,19.84,1.9,央企国资控股,--,--
000970,中科三环,7.92,1.795,央企国资控股,--,--
600158,中体产业,8.58,1.779,央企国资控股,--,--
000032,深桑达A,7.59,1.743,央企国资控股,--,--
300747,锐科激光,126.45,1.697,央企国资控股,--,--
601016,节能风电,2.44,1.667,央企国资控股,--,--
600476,湘邮科技,12.39,1.557,央企国资控股,--,--
002389,航天彩虹,12.71,1.518,央企国资控股,--,--
002189,利达光电,12.32,1.483,央企国资控股,--,--
600161,天坛生物,20.17,1.459,央企国资控股,--,--
600582,天地科技,3.55,1.433,央企国资控股,--,--
600138,中青旅,13.11,1.393,央企国资控股,--,--
600027,华电国际,4.39,1.386,央企国资控股,--,--
601968,宝钢包装,4.41,1.379,央企国资控股,--,--
601111,中国国航,8.20,1.361,央企国资控股,--,--
600028,中国石化,5.54,1.28,央企国资控股,--,--
601998,中信银行,5.61,1.261,央企国资控股,--,--
001965,招商公路,8.27,1.224,央企国资控股,--,--
002419,天虹股份,11.84,1.197,央企国资控股,--,--
601333,广深铁路,3.49,1.159,央企国资控股,--,--
601985,中国核电,5.36,1.132,央企国资控股,--,--
002116,中国海诚,8.10,1.124,央企国资控股,--,--
600775,南京熊猫,7.34,1.102,央企国资控股,--,--
600661,昂立教育,20.30,1.096,央企国资控股,--,--
000400,许继电气,10.31,1.077,央企国资控股,--,--
600685,中船防务,9.55,1.058,央企国资控股,--,--
603060,国检集团,21.97,1.058,央企国资控股,--,--
