code,name,trade,percent,category,tilte1,tilte2
000777,中核科技,23.84,10.014,央企国资控股,,
601088,中国神华,18.36,10.006,央企国资控股,,
000877,天山股份,16.32,9.164,央企国资控股,,
600508,上海能源,12.19,6.0,央企国资控股,,
002302,西部建设,12.43,5.428,央企国资控股,,
000065,北方国际,31.95,4.583,央企国资控股,,
300597,吉大通信,29.99,4.458,央企国资控股,,
600345,长江通信,23.96,3.948,央企国资控股,,
600579,天华院,15.60,3.931,央企国资控股,,
601611,中国核建,17.90,3.828,央企国资控股,,
000851,高鸿股份,12.79,3.228,央企国资控股,,
600581,*ST八钢,8.64,3.103,央企国资控股,,
600886,国投电力,7.69,3.083,央企国资控股,,
002080,中材科技,19.34,2.927,央企国资控股,,
601888,中国国旅,51.18,2.916,央企国资控股,,
000537,广宇发展,9.97,2.89,央企国资控股,,
601898,中煤能源,5.98,2.749,央企国资控股,,
000423,东阿阿胶,61.94,2.72,央企国资控股,,
002051,中工国际,26.49,2.714,央企国资控股,,
600116,三峡水利,10.46,2.65,央企国资控股,,
002167,东方锆业,12.83,2.64,央企国资控股,,
002268,卫士通,34.37,2.628,央企国资控股,,
600392,盛和资源,14.63,2.595,央企国资控股,,
000969,安泰科技,10.81,2.465,央企国资控股,,
600449,宁夏建材,13.85,2.365,央企国资控股,,
600973,宝胜股份,9.09,2.365,央企国资控股,,
600428,中远海特,7.09,2.309,央企国资控股,,
601117,中国化学,8.19,2.247,央企国资控股,,
601985,中国核电,7.35,2.225,央企国资控股,,
600476,湘邮科技,30.17,2.167,央企国资控股,,
002258,利尔化学,14.33,2.138,央企国资控股,,
000028,国药一致,70.82,2.105,央企国资控股,,
601006,大秦铁路,6.99,2.044,央企国资控股,,
600720,祁连山,10.49,2.043,央企国资控股,,
002046,轴研科技,14.13,2.022,央企国资控股,,
000026,飞亚达A,15.20,2.013,央企国资控股,,
002205,国统股份,32.02,1.975,央企国资控股,,
000970,中科三环,15.02,1.969,央企国资控股,,
000928,中钢国际,20.78,1.963,央企国资控股,,
601608,中信重工,5.75,1.95,央企国资控股,,
600528,中铁工业,16.21,1.95,央企国资控股,,
000591,太阳能,14.80,1.858,央企国资控股,,
600963,岳阳林纸,8.81,1.85,央企国资控股,,
002819,东方中科,45.82,1.822,央企国资控股,,
600062,华润双鹤,23.13,1.715,央企国资控股,,
000927,一汽夏利,7.72,1.713,央企国资控股,,
000798,中水渔业,12.03,1.691,央企国资控股,,
600980,北矿科技,22.60,1.664,央企国资控股,,
300516,久之洋,102.57,1.655,央企国资控股,,
600550,保变电气,6.93,1.613,央企国资控股,,
000831,*ST五稀,14.13,1.582,央企国资控股,,
