code,name,trade,percent,category,tilte1,tilte2
300700,岱勒新材,20.11,10.011,有色金属-新材料-非金属新材料,,
603527,众源新材,33.85,10.01,有色金属-有色冶炼加工-铜,,
300697,电工合金,19.47,10.0,有色金属-有色冶炼加工-铜,,
000969,安泰科技,11.19,2.473,有色金属-新材料-金属新材料Ⅲ,,
000519,中兵红箭,11.48,1.593,有色金属-新材料-非金属新材料,,
600366,宁波韵升,21.95,1.526,有色金属-新材料-磁性材料,,
002130,沃尔核材,6.79,1.495,有色金属-新材料-非金属新材料,,
002057,中钢天源,16.66,1.4,有色金属-新材料-磁性材料,,
600076,康欣新材,10.24,1.186,有色金属-新材料-非金属新材料,,
002114,罗平锌电,21.39,1.135,有色金属-有色冶炼加工-铅锌,,
603612,索通发展,67.46,0.852,有色金属-新材料-非金属新材料,,
300554,三超新材,69.90,0.721,有色金属-新材料-非金属新材料,,
603688,石英股份,14.45,0.487,有色金属-新材料-非金属新材料,,
600490,鹏欣资源,9.30,0.432,有色金属-有色冶炼加工-铜,,
600547,山东黄金,32.68,0.369,有色金属-有色冶炼加工-黄金,,
300395,菲利华,16.69,0.301,有色金属-新材料-非金属新材料,,
002466,天齐锂业,73.25,0.219,有色金属-有色冶炼加工-小金属,,
600489,中金黄金,11.14,0.18,有色金属-有色冶炼加工-黄金,,
601899,紫金矿业,4.01,0.0,有色金属-有色冶炼加工-黄金,,
600331,宏达股份,0,0.0,有色金属-有色冶炼加工-铅锌,,
601600,中国铝业,0,0.0,有色金属-有色冶炼加工-铝,,
000693,*ST华泽,0,0.0,有色金属-有色冶炼加工-小金属,,
600673,东阳光科,0,0.0,有色金属-有色冶炼加工-铝,,
002203,海亮股份,8.91,0.0,有色金属-有色冶炼加工-铜,,
000511,*ST烯碳,0,0.0,有色金属-新材料-非金属新材料,,
000633,合金投资,0,0.0,有色金属-有色冶炼加工-铜,,
000688,建新矿业,0,0.0,有色金属-有色冶炼加工-铅锌,,
002625,光启技术,0,0.0,有色金属-新材料-非金属新材料,,
600432,*ST吉恩,0,0.0,有色金属-有色冶炼加工-小金属,,
002237,恒邦股份,11.89,0.0,有色金属-有色冶炼加工-黄金,,
600330,天通股份,10.13,-0.197,有色金属-新材料-磁性材料,,
002460,赣锋锂业,89.75,-0.222,有色金属-有色冶炼加工-小金属,,
600114,东睦股份,17.94,-0.333,有色金属-新材料-金属新材料Ⅲ,,
600988,赤峰黄金,13.76,-0.362,有色金属-有色冶炼加工-黄金,,
002155,湖南黄金,10.45,-0.381,有色金属-有色冶炼加工-黄金,,
000975,银泰资源,14.63,-0.544,有色金属-有色冶炼加工-铅锌,,
002824,和胜股份,24.90,-0.599,有色金属-有色冶炼加工-铝,,
002379,宏创控股,6.88,-0.865,有色金属-有色冶炼加工-铝,,
601212,白银有色,8.64,-0.917,有色金属-有色冶炼加工-铜,,
601677,明泰铝业,14.05,-0.987,有色金属-有色冶炼加工-铝,,
002716,金贵银业,18.81,-1.0,有色金属-有色冶炼加工-铅锌,,
600768,宁波富邦,16.09,-1.046,有色金属-有色冶炼加工-铝,,
002501,利源精制,11.15,-1.153,有色金属-有色冶炼加工-铝,,
600311,荣华实业,5.66,-1.222,有色金属-有色冶炼加工-黄金,,
300489,中飞股份,24.00,-1.235,有色金属-新材料-非金属新材料,,
000962,东方钽业,10.59,-1.305,有色金属-新材料-金属新材料Ⅲ,,
600255,梦舟股份,5.09,-1.357,有色金属-有色冶炼加工-铜,,
601137,博威合金,12.23,-1.371,有色金属-有色冶炼加工-铜,,
600478,科力远,10.05,-1.374,有色金属-新材料-金属新材料Ⅲ,,
600980,北矿科技,20.87,-1.417,有色金属-新材料-磁性材料,,
000697,炼石有色,27.58,-1.5,有色金属-有色冶炼加工-小金属,,
000426,兴业矿业,11.38,-1.557,有色金属-有色冶炼加工-铅锌,,
002600,江粉磁材,8.77,-1.571,有色金属-新材料-磁性材料,,
000630,铜陵有色,3.06,-1.608,有色金属-有色冶炼加工-铜,,
600139,西部资源,9.86,-1.695,有色金属-有色冶炼加工-铜,,
300428,四通新材,22.99,-1.836,有色金属-新材料-金属新材料Ⅲ,,
002540,亚太科技,7.41,-1.854,有色金属-有色冶炼加工-铝,,
600531,豫光金铅,8.26,-2.017,有色金属-有色冶炼加工-铅锌,,
603663,三祥新材,28.10,-2.261,有色金属-新材料-非金属新材料,,
002578,闽发铝业,5.10,-2.299,有色金属-有色冶炼加工-铝,,
601020,华钰矿业,26.46,-2.326,有色金属-有色冶炼加工-铅锌,,
002149,西部材料,13.18,-2.37,有色金属-新材料-金属新材料Ⅲ,,
000060,中金岭南,12.30,-2.381,有色金属-有色冶炼加工-铅锌,,
002171,楚江新材,18.41,-2.696,有色金属-有色冶炼加工-铜,,
002295,精艺股份,13.11,-2.745,有色金属-有色冶炼加工-铜,,
300127,银河磁体,21.84,-2.847,有色金属-新材料-磁性材料,,
300618,寒锐钴业,164.00,-2.895,有色金属-新材料-金属新材料Ⅲ,,
000657,中钨高新,14.92,-2.991,有色金属-有色冶炼加工-小金属,,
600219,南山铝业,4.11,-3.066,有色金属-有色冶炼加工-铝,,
000751,锌业股份,6.30,-3.077,有色金属-有色冶炼加工-铅锌,,
600687,刚泰控股,13.84,-3.081,有色金属-有色冶炼加工-黄金,,
600362,江西铜业,18.51,-3.14,有色金属-有色冶炼加工-铜,,
000795,英洛华,8.19,-3.192,有色金属-新材料-磁性材料,,
603399,新华龙,14.59,-3.249,有色金属-有色冶炼加工-小金属,,
600456,宝钛股份,22.92,-3.332,有色金属-有色冶炼加工-小金属,,
603799,华友钴业,86.02,-3.348,有色金属-有色冶炼加工-小金属,,
600711,盛屯矿业,9.37,-3.402,有色金属-有色冶炼加工-铜,,
000758,中色股份,7.83,-3.571,有色金属-有色冶炼加工-铅锌,,
000603,盛达矿业,14.62,-3.626,有色金属-有色冶炼加工-铅锌,,
002428,云南锗业,12.37,-3.66,有色金属-有色冶炼加工-小金属,,
601168,西部矿业,9.34,-3.711,有色金属-有色冶炼加工-铜,,
002182,云海金属,12.71,-3.712,有色金属-新材料-金属新材料Ⅲ,,
600497,驰宏锌锗,7.86,-3.794,有色金属-有色冶炼加工-铅锌,,
300337,银邦股份,11.05,-3.913,有色金属-有色冶炼加工-铝,,
000878,云南铜业,14.59,-3.95,有色金属-有色冶炼加工-铜,,
300690,双一科技,66.31,-4.038,有色金属-新材料-非金属新材料,,
002842,翔鹭钨业,51.81,-4.144,有色金属-有色冶炼加工-小金属,,
600259,广晟有色,48.70,-4.172,有色金属-有色冶炼加工-小金属,,
000960,锡业股份,14.45,-4.178,有色金属-有色冶炼加工-小金属,,
600888,新疆众和,8.11,-4.25,有色金属-有色冶炼加工-铝,,
600392,盛和资源,22.61,-4.317,有色金属-有色冶炼加工-小金属,,
600961,株冶集团,10.21,-4.49,有色金属-有色冶炼加工-铅锌,,
002340,格林美,7.90,-4.589,有色金属-新材料-金属新材料Ⅲ,,
000970,中科三环,19.06,-4.652,有色金属-新材料-磁性材料,,
002167,东方锆业,12.70,-4.798,有色金属-有色冶炼加工-小金属,,
600338,西藏珠峰,48.43,-4.834,有色金属-有色冶炼加工-铅锌,,
002378,章源钨业,12.47,-4.954,有色金属-有色冶炼加工-小金属,,
000831,五矿稀土,16.32,-5.006,有色金属-有色冶炼加工-小金属,,
600459,贵研铂业,25.26,-5.038,有色金属-有色冶炼加工-小金属,,
000612,焦作万方,10.71,-5.221,有色金属-有色冶炼加工-铝,,
601958,金钼股份,8.71,-5.223,有色金属-有色冶炼加工-小金属,,
603978,深圳新星,59.53,-5.252,有色金属-有色冶炼加工-铝,,
603993,洛阳钼业,7.79,-5.69,有色金属-有色冶炼加工-小金属,,
600549,厦门钨业,32.75,-5.945,有色金属-有色冶炼加工-小金属,,
002160,常铝股份,8.51,-6.174,有色金属-有色冶炼加工-铝,,
601388,怡球资源,5.43,-6.218,有色金属-有色冶炼加工-铝,,
600111,北方稀土,17.62,-6.326,有色金属-有色冶炼加工-小金属,,
300224,正海磁材,14.01,-6.6,有色金属-新材料-磁性材料,,
600595,中孚实业,7.20,-6.736,有色金属-有色冶炼加工-铝,,
600516,方大炭素,33.74,-8.39,有色金属-新材料-非金属新材料,,
000807,云铝股份,14.45,-9.969,有色金属-有色冶炼加工-铝,,
000933,神火股份,13.22,-10.007,有色金属-有色冶炼加工-铝,,
601069,西部黄金,23.63,-10.015,有色金属-有色冶炼加工-黄金,,
