name,ticktime,price,volume,prev_price,kind
沃施股份,15:00:35,67.41,47900,67.2,U
恒锋工具,15:00:35,100.9,43700,100.9,E
温氏股份,15:00:35,48.39,155700,48.38,E
汉威电子,15:00:26,32.49,223700,32.48,U
立思辰,15:00:26,35.35,496230,35.31,E
爱尔眼科,15:00:26,33.6,106711,33.61,E
大禹节水,15:00:26,17.65,214900,17.64,E
华谊兄弟,15:00:26,41.62,890000,41.62,E
阳普医疗,15:00:26,21.39,309300,21.38,E
赛为智能,15:00:26,28.61,310500,28.6,E
中青宝,15:00:26,33.67,353700,33.66,E
欧比特,15:00:26,44.0,244867,44.0,U
万邦达,15:00:26,23.65,299058,23.65,E
三维丝,15:00:26,21.08,253920,21.08,E
南都电源,15:00:26,19.17,318550,19.16,E
振芯科技,15:00:26,31.34,216405,31.31,E
嘉寓股份,15:00:26,13.78,261200,13.78,E
太阳鸟,15:00:26,16.48,245300,16.47,E
华策影视,15:00:26,32.95,378400,32.94,E
汤臣倍健,15:00:26,34.6,346000,34.56,U
神雾环保,15:00:26,53.3,116158,53.31,E
东方国信,15:00:26,35.74,186000,35.7,E
迪威视讯,15:00:26,21.75,199900,21.75,E
中电环保,15:00:26,17.33,271847,17.32,E
智慧松德,15:00:26,18.82,1154730,18.8,E
腾邦国际,15:00:26,33.05,648952,32.99,E
四方达,15:00:26,9.64,545300,9.63,E
佐力药业,15:00:26,11.82,267030,11.82,E
东软载波,15:00:26,27.96,141114,27.95,E
美亚柏科,15:00:26,46.17,314400,46.17,E
佳士科技,15:00:26,13.93,490270,13.93,E
铁汉生态,15:00:26,17.9,488500,17.9,E
日科化学,15:00:26,10.14,382200,10.14,E
千山药机,15:00:26,42.95,100700,42.95,E
银信科技,15:00:26,27.3,302030,27.29,E
卫宁软件,15:00:26,46.97,258300,46.97,E
仟源医药,15:00:26,32.17,141600,32.17,E
星星科技,15:00:26,27.4,152625,27.4,D
万福生科,15:00:26,31.89,178033,31.98,E
阳光电源,15:00:26,28.12,919700,28.0,E
飞利信,15:00:26,19.05,513300,19.03,E
利德曼,15:00:26,19.8,158500,19.8,E
荣科科技,15:00:26,25.4,177500,25.4,E
裕兴股份,15:00:26,30.77,98000,30.75,E
戴维医疗,15:00:26,36.8,284418,36.7,E
掌趣科技,15:00:26,15.01,1998304,15.01,E
晶盛机电,15:00:26,15.16,280000,15.15,E
博晖创新,15:00:26,24.48,139600,24.48,E
麦迪电气,15:00:26,24.27,94900,24.25,E
炬华科技,15:00:26,34.51,121200,34.5,U
汇中股份,15:00:26,38.44,185592,38.35,E
鹏翎股份,15:00:26,23.87,229448,23.87,U
鼎捷软件,15:00:26,65.49,97950,65.44,E
快乐购,15:00:26,45.18,105600,45.18,E
强力新材,15:00:26,149.35,29286,149.2,E
双杰电气,15:00:26,32.5,176300,32.5,E
田中精机,15:00:26,67.99,72100,67.99,E
迅游科技,15:00:26,109.3,133650,109.63,E
德尔股份,15:00:26,102.45,85900,102.22,E
杭州高新,15:00:26,71.52,75200,71.53,E
光力科技,15:00:26,68.78,76300,68.78,E
长  安Ｂ,15:00:23,17.1,94279,17.22,D
特锐德,15:00:23,30.14,438288,30.11,E
乐普医疗,15:00:23,39.54,97800,39.53,E
探路者,15:00:23,23.58,227500,23.56,U
吉峰农机,15:00:23,11.43,645600,11.43,E
机器人,15:00:23,73.71,330834,73.7,E
钢研高纳,15:00:23,27.48,179800,27.46,U
回天新材,15:00:23,25.5,227700,25.48,U
华力创通,15:00:23,24.75,572764,24.74,U
台基股份,15:00:23,24.68,170300,24.65,E
三五互联,15:00:23,24.0,340228,24.0,E
蓝色光标,15:00:23,15.11,1508096,15.14,E
东方财富,15:00:23,59.38,757952,59.33,E
数字政通,15:00:23,32.6,275862,32.6,E
数码视讯,15:00:23,13.38,1845000,13.37,E
高新兴,15:00:23,19.36,1196000,19.36,E
双林股份,15:00:23,27.61,165740,27.63,E
乾照光电,15:00:23,9.58,540000,9.53,E
龙源技术,15:00:23,11.41,288402,11.41,E
向日葵,15:00:23,6.45,555400,6.44,E
坚瑞消防,15:00:23,10.85,230150,10.85,E
汇川技术,15:00:23,46.88,122400,46.85,E
大富科技,15:00:23,33.7,1070688,33.7,E
宝利国际,15:00:23,8.93,993736,8.9,E
启源装备,15:00:23,26.68,458100,26.67,E
宋城演艺,15:00:23,31.0,409087,31.26,E
香雪制药,15:00:23,23.87,356000,23.87,E
世纪瑞尔,15:00:23,15.62,226097,15.61,E
昌红科技,15:00:23,22.31,616800,22.3,E
安居宝,15:00:23,18.39,297585,18.39,E
朗源股份,15:00:23,12.3,351450,12.29,U
中海达,15:00:23,19.61,195600,19.6,U
捷成股份,15:00:23,24.19,239600,24.19,U
力源信息,15:00:23,19.11,189400,19.1,U
通裕重工,15:00:23,9.2,266300,9.2,U
潜能恒信,15:00:23,44.41,229100,44.39,E
高盟新材,15:00:23,16.95,177900,16.89,E
恒顺众昇,15:00:23,21.98,418200,21.97,E
鸿利光电,15:00:23,15.25,361352,15.25,E
宝莱特,15:00:23,36.85,257100,36.81,U
光线传媒,15:00:23,33.44,777600,33.5,E
隆华节能,15:00:23,22.95,643852,22.87,U
兴源环境,15:00:23,53.3,110200,53.05,U
三丰智能,15:00:23,27.6,305071,27.58,U
苏交科,15:00:23,22.95,160272,22.89,U
长方照明,15:00:23,9.45,443573,9.42,E
任子行,15:00:23,42.58,189900,42.53,U
兆日科技,15:00:23,52.99,537600,52.99,E
创意信息,15:00:23,78.0,77900,77.8,E
恒通科技,15:00:23,28.02,91600,27.98,E
国祯环保,15:00:23,36.0,136600,35.99,E
昆仑万维,15:00:23,50.03,438554,50.02,E
诚益通,15:00:23,63.0,58036,62.98,U
创业软件,15:00:23,211.88,27200,211.66,E
康拓红外,15:00:23,49.7,72500,49.64,U
赛摩电气,15:00:23,83.99,265399,83.83,E
平安银行,15:00:20,12.07,920684,12.06,E
深振业Ａ,15:00:20,11.48,410344,11.49,E
神州高铁,15:00:20,11.8,451500,11.8,E
中国宝安,15:00:20,18.19,1016672,18.19,E
南  玻Ａ,15:00:20,12.06,1259100,12.06,E
沙河股份,15:00:20,22.0,228500,21.89,E
深康佳Ａ,15:00:20,7.46,1104408,7.45,E
深中华A,15:00:20,14.85,242950,14.84,E
深科技,15:00:20,12.85,575496,12.85,E
深赤湾Ａ,15:00:20,19.78,119660,19.79,E
特  力Ａ,15:00:20,92.0,295352,92.0,E
深深房Ａ,15:00:20,13.73,324750,13.72,E
中粮地产,15:00:20,14.73,734800,14.73,E
深南电Ａ,15:00:20,12.89,298119,12.88,E
中集集团,15:00:20,20.73,243760,20.73,D
中洲控股,15:00:20,21.6,361500,21.5,E
深纺织Ａ,15:00:20,14.65,257500,14.68,D
农 产 品,15:00:20,18.32,792176,18.31,E
深圳华强,15:00:20,39.83,181450,39.82,E
中信海直,15:00:20,15.47,382776,15.44,E
TCL 集团,15:00:20,4.13,3004896,4.13,E
中成股份,15:00:20,25.35,151500,25.34,U
中联重科,15:00:20,5.45,1478504,5.43,E
常山股份,15:00:20,19.75,288700,19.75,E
潍柴动力,15:00:20,9.9,476204,9.9,U
许继电气,15:00:20,19.67,286100,19.66,E
华意压缩,15:00:20,9.88,287700,9.88,E
山东地矿,15:00:20,10.02,505060,10.0,E
沈阳机床,15:00:20,25.89,852476,25.88,E
东旭光电,15:00:20,9.61,1091404,9.61,E
东阿阿胶,15:00:20,50.43,152606,50.43,E
徐工机械,15:00:20,4.37,1527896,4.36,E
粤高速Ａ,15:00:20,6.78,456500,6.78,E
海虹控股,15:00:20,33.55,470460,33.54,E
国际医学,15:00:20,20.37,606900,20.36,E
力合股份,15:00:20,23.39,205500,23.4,E
华映科技,15:00:20,15.32,290423,15.3,E
广宇发展,15:00:20,10.9,1463900,10.88,E
皖能电力,15:00:20,9.13,982800,9.13,E
中原环保,15:00:20,19.35,146800,19.35,E
金浦钛业,15:00:20,8.71,589400,8.7,E
航天发展,15:00:20,20.61,344400,20.61,E
莱茵体育,15:00:20,27.35,919448,27.23,E
万向钱潮,15:00:20,22.67,623700,22.67,E
西安民生,15:00:20,15.75,357902,15.73,E
渝三峡Ａ,15:00:20,14.1,186150,14.1,E
苏常柴Ａ,15:00:20,11.58,558600,11.55,E
新大洲Ａ,15:00:20,8.23,562500,8.23,E
海马汽车,15:00:20,6.39,592700,6.39,E
广东甘化,15:00:20,17.9,161900,17.85,E
威孚高科,15:00:20,24.71,309542,24.7,E
北部湾港,15:00:20,21.5,235600,21.39,U
金叶珠宝,15:00:20,20.2,330200,20.19,E
平潭发展,15:00:20,21.27,425100,21.27,E
青岛双星,15:00:20,8.91,535000,8.9,E
韶能股份,15:00:20,12.54,534900,12.53,E
华媒控股,15:00:20,15.16,424900,15.16,E
焦作万方,15:00:20,7.5,563300,7.48,U
海航投资,15:00:20,8.2,814400,8.19,U
吉林敖东,15:00:20,30.5,377380,30.49,E
高新发展,15:00:20,16.9,210001,16.9,E
铜陵有色,15:00:20,3.81,4328416,3.81,E
合金投资,15:00:20,16.4,218400,16.33,E
仁和药业,15:00:20,10.71,486400,10.71,E
格力电器,15:00:20,21.13,841808,21.13,E
美好集团,15:00:20,5.07,1964304,5.07,E
阳 光 城,15:00:20,9.99,1422256,9.99,E
智度投资,15:00:20,35.9,301500,35.9,E
东方电子,15:00:20,6.67,421304,6.67,E
远兴能源,15:00:20,5.44,509882,5.44,U
中山公用,15:00:20,14.32,900650,14.31,U
东北证券,15:00:20,17.79,1079104,17.78,E
建新矿业,15:00:20,10.9,734486,10.89,E
宝新能源,15:00:20,10.37,295800,10.36,E
亚太实业,15:00:20,12.28,1009400,12.28,E
华泽钴镍,15:00:20,21.23,682744,21.23,E
沈阳化工,15:00:20,7.89,624100,7.89,E
双环科技,15:00:20,8.7,1330900,8.7,E
黑芝麻,15:00:20,15.14,231724,15.14,E
新能泰山,15:00:20,9.73,574800,9.73,E
西安饮食,15:00:20,9.28,924152,9.28,E
湖南发展,15:00:20,20.29,184100,20.29,U
美锦能源,15:00:20,12.22,551400,12.22,E
京东方Ａ,15:00:20,3.04,3829184,3.03,E
鲁  泰Ａ,15:00:20,14.31,346800,14.31,E
罗 牛 山,15:00:20,7.95,733752,7.96,E
中航动控,15:00:20,33.14,278532,33.1,E
漳州发展,15:00:20,6.47,557208,6.46,E
山西三维,15:00:20,10.36,434100,10.36,E
新华制药,15:00:20,12.67,172000,12.67,E
中色股份,15:00:20,15.74,460166,15.75,E
中百集团,15:00:20,8.5,497102,8.46,E
斯太尔,15:00:20,20.81,621800,20.8,E
本钢板材,15:00:20,6.5,842872,6.5,E
西藏矿业,15:00:20,27.85,963076,27.85,E
通化金马,15:00:20,17.88,261400,17.88,E
中航飞机,15:00:20,24.96,452464,24.94,E
中核科技,15:00:20,34.04,344860,34.03,E
北新建材,15:00:20,12.0,435636,11.99,E
万年青,15:00:20,8.8,1018900,8.8,E
盐湖股份,15:00:20,24.01,354100,23.97,E
太原刚玉,15:00:20,13.93,596250,13.93,E
中国武夷,15:00:20,23.17,147000,23.17,E
陕西金叶,15:00:20,13.34,311300,13.33,E
京山轻机,15:00:20,15.91,294300,15.9,E
山东海化,15:00:20,7.23,311100,7.23,U
启迪桑德,15:00:20,39.85,199000,39.8,U
五矿稀土,15:00:20,21.57,595308,21.57,E
秦川机床,15:00:20,14.98,207875,14.98,E
承德露露,15:00:20,16.71,379800,16.7,E
华茂股份,15:00:20,8.9,352128,8.9,E
冀东装备,15:00:20,15.21,201150,15.21,E
五 粮 液,15:00:20,25.54,510292,25.54,E
海印股份,15:00:20,8.51,981760,8.5,E
