code,name,trade,buy,changepercent,open,high,low,volume,ticktime,turnoverratio
000881,大连国际,14.47,14.47,10.038,14.47,14.47,14.47,2515729,15:05:52,0.81689
002780,三夫户外,19.86,19.86,10.028,19.86,19.86,19.86,10100,15:05:52,0.05941
300493,润欣科技,13.17,13.17,10.025,13.17,13.17,13.17,2900,15:05:52,0.00967
002079,苏州固锝,10.1,10.1,10.022,10.1,10.1,10.1,12405038,15:05:52,1.70991
300211,亿通科技,25.03,25.03,10.022,22.61,25.03,22.61,7814236,15:05:52,8.56299
002468,艾迪西,16.59,16.59,10.013,16.59,16.59,16.59,12402,15:05:52,0.00374
300496,中科创达,44.61,44.61,10.012,44.61,44.61,44.61,1900,15:05:52,0.0076
002560,通达股份,42.2,42.2,10.01,42.2,42.2,42.2,1177511,15:05:52,1.33305
300466,赛摩电气,77.83,77.83,10.007,77.83,77.83,77.83,2328094,15:05:52,11.64047
002783,凯龙股份,60.47,60.47,10.005,60.47,60.47,60.47,43116,15:05:52,0.20659
000048,康达尔,37.95,37.95,10.0,34.6,37.95,34.6,10560542,15:05:52,2.73541
002446,盛路通信,32.01,32.01,10.0,29.5,32.01,29.5,6701881,15:05:52,3.98854
002779,中坚科技,25.53,25.53,9.996,25.53,25.53,25.53,16300,15:05:52,0.07409
002602,世纪华通,23.45,23.45,9.991,23.45,23.45,23.45,82710,15:05:52,0.01461
300333,兆日科技,47.01,47.01,9.991,42.1,47.01,42.1,21338104,15:05:52,6.4486
000622,恒立实业,17.4,17.4,9.987,16.07,17.4,16.07,16732921,15:05:52,5.9132
002341,新纶科技,13.99,13.99,9.984,13.99,13.99,13.99,2636849,15:05:52,1.02829
002094,青岛金王,21.16,21.16,9.979,21.16,21.16,21.16,1179299,15:05:52,0.36642
002284,亚太股份,15.43,15.43,9.979,14.2,15.43,14.2,61981555,15:05:52,9.03559
002639,雪人股份,9.5,9.5,9.954,9.5,9.5,9.5,734003,15:05:52,0.20258
002694,顾地科技,15.1,15.09,8.633,13.9,15.15,13.9,14087302,15:05:52,4.71459
002268,卫 士 通,65.0,65.0,7.616,60.5,65.5,60.5,17067569,15:05:52,4.9558
000676,智度投资,36.35,36.34,5.271,34.6,36.45,34.6,14521016,15:05:52,5.78506
002407,多氟多,70.95,70.94,5.096,68.0,71.48,68.0,24320506,15:05:52,13.00936
000889,茂业通信,15.08,15.07,5.087,14.26,15.17,14.26,8402723,15:05:52,1.88681
002417,*ST元达,23.92,23.92,5.004,22.82,23.92,22.82,5683794,15:05:52,2.63162
002477,雏鹰农牧,16.6,16.59,4.6,15.83,16.72,15.83,23642193,15:05:52,4.48131
300203,聚光科技,36.88,36.88,4.594,34.6,36.99,34.6,9659596,15:05:52,2.16319
000042,中洲控股,20.39,20.38,4.457,19.55,20.52,19.55,7154426,15:05:52,1.49429
002173,千足珍珠,29.49,29.47,4.352,28.5,29.6,28.5,3890539,15:05:52,3.58961
002413,雷科防务,55.46,55.31,3.858,53.01,56.0,53.01,3209016,15:05:52,1.45534
000063,中兴通讯,18.7,18.69,3.315,18.11,18.78,18.11,74562090,15:05:52,2.20789
000008,神州高铁,11.6,11.6,2.837,11.28,11.68,11.28,18542231,15:05:52,2.89393
300221,银禧科技,12.52,12.51,2.791,12.12,12.56,12.12,13698870,15:05:52,3.42472
002724,海洋王,23.23,23.23,2.606,22.64,23.43,22.64,1655887,15:05:52,2.72586
300006,莱美药业,32.58,32.56,2.517,31.8,32.9,31.8,4546150,15:05:52,3.54703
000790,华神集团,16.17,16.17,2.342,15.82,16.2,15.82,10365968,15:05:52,2.41969
000637,茂化实华,8.01,8.0,2.299,7.78,8.03,7.78,16995337,15:05:52,4.63738
300286,安科瑞,32.22,32.2,2.253,31.2,32.22,31.2,2092482,15:05:52,2.55945
002276,万马股份,28.04,28.03,1.964,27.6,28.3,27.6,25478379,15:05:52,2.79434
300120,经纬电材,16.69,16.69,1.955,16.28,16.84,16.28,5101848,15:05:52,3.27701
002111,威海广泰,33.17,33.16,1.78,32.39,33.5,32.39,3647097,15:05:52,1.38324
300391,康跃科技,21.73,21.73,1.78,21.4,21.93,21.4,1924583,15:05:52,3.7244
000652,泰达股份,6.41,6.4,1.746,6.28,6.42,6.28,26499097,15:05:52,1.80798
000915,山大华特,34.06,34.06,1.702,33.5,34.35,33.5,3459820,15:05:52,1.9288
000798,中水渔业,12.3,12.23,1.653,12.01,12.3,12.01,3807827,15:05:52,1.192
300210,森远股份,17.46,17.45,1.63,17.0,17.58,17.0,4265307,15:05:52,3.70198
002738,中矿资源,37.81,37.81,1.503,37.29,38.15,37.29,1817124,15:05:52,6.05708
300034,钢研高纳,26.88,26.88,1.434,26.45,26.97,26.45,5779800,15:05:52,1.80608
002349,精华制药,32.78,32.78,1.423,32.16,32.93,32.16,2548879,15:05:52,1.28948
300124,汇川技术,46.62,46.61,1.392,45.96,46.95,45.96,7838751,15:05:52,1.26143
002088,鲁阳节能,16.21,16.21,1.313,15.92,16.29,15.92,3470925,15:05:52,2.60037
002516,旷达科技,14.25,14.25,1.207,14.08,14.38,14.08,7065371,15:05:52,2.59523
002561,徐家汇,15.11,15.1,0.801,15.0,15.25,15.0,4142171,15:05:52,1.07228
002533,金杯电工,9.04,9.03,0.78,8.93,9.1,8.93,9192610,15:05:52,1.83634
000902,新洋丰,26.65,26.65,0.528,26.4,26.79,26.4,5919209,15:05:52,2.29427
300375,鹏翎股份,22.59,22.58,0.133,22.36,22.8,22.36,1722819,15:05:52,2.36291
002062,宏润建设,9.47,9.46,-0.316,9.34,9.54,9.34,9430997,15:05:52,1.4068
600533,栖霞建设,5.8,5.8,10.057,5.8,5.8,5.8,332921,15:03:12,0.03171
600432,吉恩镍业,12.49,12.49,10.044,12.49,12.49,12.49,2953353,15:03:12,0.36411
600812,华北制药,8.22,8.22,10.04,7.98,8.22,7.98,25780691,15:03:12,1.87009
603696,安记食品,21.29,21.29,10.026,21.29,21.29,21.29,34050,15:03:12,0.1135
603936,博敏电子,17.01,17.01,10.026,17.01,17.01,17.01,10700,15:03:12,0.02557
600520,中发科技,24.59,24.59,10.022,22.36,24.59,22.36,12778086,15:03:12,8.30339
600353,旭光股份,10.98,10.98,10.02,10.0,10.98,10.0,18931743,15:03:12,3.48189
603398,邦宝益智,29.45,29.45,10.011,29.45,29.45,29.45,20400,15:03:12,0.085
600745,中茵股份,41.12,41.12,10.005,36.57,41.12,36.57,25720511,15:03:12,5.32163
603800,道森股份,21.0,21.0,10.005,21.0,21.0,21.0,42400,15:03:12,0.08154
600734,实达集团,15.31,15.31,9.986,13.83,15.31,13.83,23575640,15:03:12,6.71463
603999,读者传媒,18.73,18.73,9.982,18.73,18.73,18.73,24400,15:03:12,0.04067
600739,辽宁成大,17.41,17.41,9.981,17.41,17.41,17.41,1978361,15:03:12,0.14497
600306,商业城,15.0,15.0,9.971,15.0,15.0,15.0,84500,15:03:12,0.04763
600665,天地源,8.17,8.17,9.96,7.46,8.17,7.46,110666337,15:03:12,12.80679
600303,曙光股份,14.67,14.74,8.828,13.7,14.75,13.7,56869340,15:03:12,9.89882
600649,城投控股,21.13,21.12,5.334,20.16,21.29,20.16,54279470,15:03:12,1.81687
600090,啤酒花,19.23,19.23,5.082,18.32,19.38,18.32,8948755,15:03:12,2.43228
603558,健盛集团,22.82,22.85,4.535,21.92,22.88,21.92,4566215,15:03:12,6.08829
600383,金地集团,13.84,13.82,4.374,13.4,13.94,13.4,39909901,15:03:12,0.88696
603686,龙马环卫,37.69,37.68,3.147,36.5,37.78,36.5,3368873,15:03:12,5.05078
601579,会稽山,13.47,13.47,3.139,12.99,13.58,12.99,7227517,15:03:12,2.91432
600702,沱牌舍得,17.61,17.61,2.563,17.09,17.78,17.09,7251992,15:03:12,2.15001
600973,宝胜股份,16.04,16.03,2.296,15.54,16.11,15.54,6741368,15:03:12,1.62689
601677,明泰铝业,14.67,14.67,2.23,14.36,14.75,14.36,3270047,15:03:12,0.81547
601678,滨化股份,7.98,7.97,1.916,7.82,8.02,7.82,20331434,15:03:12,2.05368
601208,东材科技,8.73,8.72,1.748,8.54,8.8,8.54,11759929,15:03:12,1.90982
603366,日出东方,10.27,10.27,1.382,10.15,10.3,10.15,4951423,15:03:12,0.61893
600318,巢东股份,34.42,34.34,1.116,33.81,34.76,33.81,3362449,15:03:12,1.38944
600559,老白干酒,56.43,56.42,1.093,55.5,57.0,55.5,1018470,15:03:12,0.72748
600757,长江传媒,10.91,10.9,1.019,10.77,10.98,10.77,13595069,15:03:12,1.12032
603698,航天工程,34.59,34.59,0.934,34.31,34.68,34.31,2698393,15:03:12,3.27873
