,name,trade
300101,振芯科技,21.62
300028,金亚科技,22.0
300113,顺网科技,97.83
300307,慈星股份,17.53
300033,同花顺,83.02
300223,北京君正,30.8
300036,超图软件,39.92
300264,佳创视讯,25.42
300322,硕贝德,16.42
300279,和晶科技,39.25
300294,博雅生物,55.63
300120,经纬电材,15.24
300236,上海新阳,33.86
300134,大富科技,23.88
300310,宜通世纪,39.33
300093,金刚玻璃,29.2
300296,利亚德,27.53
300081,恒信移动,49.39
300087,荃银高科,11.29
300055,万邦达,18.56
300368,汇金股份,46.96
300078,思创医惠,28.9
300149,量子高科,20.11
300252,金信诺,29.45
300317,珈伟股份,24.1
300313,天山生物,18.97
300115,长盈精密,33.19
300232,洲明科技,34.6
300306,远方光电,20.87
300095,华伍股份,10.89
300478,杭州高新,58.82
300059,东方财富,22.85
300040,九洲电气,12.11
300238,冠昊生物,40.72
300160,秀强股份,48.05
300114,中航电测,33.43
300065,海兰信,29.9
300136,信维通信,32.35
300219,鸿利光电,12.25
300085,银之杰,42.2
300365,恒华科技,33.99
300237,美晨科技,10.3
300106,西部牧业,14.0
300188,美亚柏科,27.21
300376,易事特,29.32
300100,双林股份,39.8
300044,赛为智能,15.21
300342,天银机电,36.23
300121,阳谷华泰,12.6
300061,康耐特,29.05
300200,高盟新材,14.94
300165,天瑞仪器,21.78
300056,三维丝,15.46
300260,新莱应材,30.66
300154,瑞凌股份,9.65
300098,高新兴,13.37
300076,GQY视讯,21.51
300018,中元华电,24.48
300062,中能电气,20.18
300094,国联水产,14.43
300182,捷成股份,17.34
300066,三川智慧,17.36
300174,元力股份,21.8
300153,科泰电源,16.75
300096,易联众,17.52
300261,雅本化学,16.99
300269,联建光电,23.58
300054,鼎龙股份,21.43
300024,机器人,27.16
300088,长信科技,12.21
300123,太阳鸟,14.48
300092,科新机电,12.26
300072,三聚环保,26.82
300209,天泽信息,25.2
300207,欣旺达,25.72
300217,东方电热,14.49
300041,回天新材,23.28
300283,温州宏丰,8.21
300042,朗科科技,33.27
300107,建新股份,6.64
300179,四方达,7.72
300249,依米康,10.89
300010,立思辰,20.42
300211,亿通科技,24.69
300008,上海佳豪,21.92
300047,天源迪科,18.16
300258,精锻科技,17.17
300108,双龙股份,13.38
300138,晨光生物,19.33
300131,英唐智控,10.14
300300,汉鼎股份,28.23
300280,南通锻压,31.77
300438,鹏辉能源,113.68
300001,特锐德,23.14
300162,雷曼股份,24.45
300304,云意电气,28.15
300329,海伦钢琴,23.75
300112,万讯自控,14.16
300266,兴源环境,41.3
300156,神雾环保,45.26
300243,瑞丰高材,16.19
300017,网宿科技,65.38
300089,文化长城,29.15
300324,旋极信息,22.74
300023,宝德股份,27.93
300224,正海磁材,19.92
300187,永清环保,47.93
300091,金通灵,30.98
300302,同有科技,51.98
300198,纳川股份,14.21
300064,豫金刚石,10.11
300222,科大智能,24.58
300141,和顺电气,35.46
300132,青松股份,8.43
300372,欣泰电气,16.86
300214,日科化学,8.0
300099,尤洛卡,20.29
300268,万福生科,23.18
300035,中科电气,14.29
300031,宝通科技,26.33
300037,新宙邦,53.18
300158,振东制药,16.5
300297,蓝盾股份,15.66
300240,飞力达,20.95
300241,瑞丰光电,16.46
300185,通裕重工,7.45
300119,瑞普生物,16.66
300021,大禹节水,18.9
300151,昌红科技,13.7
300003,乐普医疗,35.75
300394,天孚通信,93.68
300435,中泰股份,74.44
300097,智云股份,49.16
300239,东宝生物,16.05
300083,劲胜精密,35.2
300068,南都电源,18.03
300129,泰胜风能,7.23
300015,爱尔眼科,32.3
300203,聚光科技,25.51
300109,新开源,53.85
300247,乐金健康,8.57
300144,宋城演艺,27.7
300014,亿纬锂能,29.94
300242,明家联合,36.8
300206,理邦仪器,25.95
300341,麦迪电气,31.65
300116,坚瑞消防,14.89
300084,海默科技,11.44
300159,新研股份,14.59
300481,濮阳惠成,68.1
300230,永利股份,27.06
300051,三五互联,18.0
300069,金利华电,29.1
300197,铁汉生态,15.33
300127,银河磁体,16.65
300409,道氏技术,74.12
300381,溢多利,52.61
300073,当升科技,45.0
300327,中颖电子,42.72
300196,长海股份,35.63
300009,安科生物,25.21
300343,联创股份,85.38
300344,太空板业,12.33
