,name,trade
600610,中毅达,11.83
600603,大洲兴业,14.91
600864,哈投股份,13.17
600391,成发科技,40.08
600409,三友化工,7.19
600297,广汇汽车,11.28
600241,时代万恒,12.22
600651,飞乐音响,13.26
600510,黑牡丹,8.8
600791,京能置业,9.33
600652,游久游戏,15.72
600893,中航动力,36.72
600184,光电股份,25.81
600673,东阳光科,6.87
600689,上海三毛,17.87
600383,金地集团,14.98
600136,道博股份,49.76
600235,民丰特纸,9.53
600482,风帆股份,33.0
600226,升华拜克,7.88
601009,南京银行,15.69
600076,青鸟华光,8.46
600593,大连圣亚,32.22
600303,曙光股份,11.99
600862,南通科技,14.75
600370,三房巷,10.83
600855,航天长峰,34.97
600405,动力源,11.81
600712,南宁百货,7.74
600236,桂冠电力,6.4
600146,商赢环球,25.33
600369,西南证券,8.32
600590,泰豪科技,11.61
600666,奥瑞德,36.0
600965,福成五丰,12.58
600082,海泰发展,6.54
600486,扬农化工,24.32
600365,通葡股份,12.51
601727,上海电气,9.13
600869,智慧能源,6.95
300249,依米康,20.86
000576,广东甘化,16.58
000586,汇源通信,19.47
300023,宝德股份,30.71
002141,蓉胜超微,20.97
002629,仁智油服,11.7
002407,多氟多,74.5
000779,三毛派神,27.27
002717,岭南园林,36.66
300149,量子高科,14.96
002085,万丰奥威,25.3
300100,双林股份,28.68
300073,当升科技,27.38
000738,中航动控,25.97
300141,和顺电气,18.67
300016,北陆药业,27.56
002453,天马精化,8.59
000785,武汉中商,15.25
300018,中元华电,24.07
002099,海翔药业,19.86
300031,宝通科技,22.12
000498,山东路桥,8.03
002348,高乐股份,11.88
002239,奥特佳,13.43
002514,宝馨科技,21.0
300266,兴源环境,40.6
002196,方正电机,25.7
002596,海南瑞泽,26.9
300329,海伦钢琴,29.03
300151,昌红科技,15.84
002192,*ST融捷,38.89
300061,康耐特,21.79
300065,海兰信,30.84
002033,丽江旅游,14.58
300174,元力股份,20.79
002575,群兴玩具,13.22
002599,盛通股份,29.28
000881,大连国际,17.2
000700,模塑科技,17.44
300053,欧比特,34.18
300085,银之杰,43.8
002726,龙大肉食,16.35
002466,天齐锂业,124.12
002502,骅威股份,28.62
000936,华西股份,9.47
002662,京威股份,18.01
300302,同有科技,64.4
300327,中颖电子,33.41
002615,哈尔斯,20.8
002360,同德化工,9.66
002224,三 力 士,17.74
002709,天赐材料,68.98
300008,上海佳豪,18.9
000420,吉林化纤,6.57
000611,*ST蒙发,7.94
002127,新民科技,15.63
002368,太极股份,43.93
002335,科华恒盛,37.6
000676,智度投资,21.38
002413,雷科防务,41.33
002176,江特电机,14.32
300101,振芯科技,22.65
300009,安科生物,34.73
000008,神州高铁,9.33
002094,青岛金王,22.45
300271,华宇软件,39.15
002504,弘高创意,22.46
001696,宗申动力,10.2
300145,南方泵业,36.48
002102,冠福股份,12.32
002227,奥 特 迅,33.07
002119,康强电子,20.24
002494,华斯股份,17.14
002563,森马服饰,10.24
002632,道明光学,17.92
002096,南岭民爆,18.17
002260,德奥通航,33.01
300310,宜通世纪,48.22
002669,康达新材,21.98
300108,双龙股份,12.2
002019,亿帆鑫富,36.74
002487,大金重工,9.84
002572,索菲亚,37.65
000415,渤海租赁,7.12
000519,江南红箭,13.94
300113,顺网科技,80.35
000938,紫光股份,67.5
300098,高新兴,14.32
002247,帝龙新材,23.17
000662,索芙特,16.61
000989,九 芝 堂,22.31
300208,恒顺众�,17.2
002442,龙星化工,12.9
002023,海特高新,14.73
300131,英唐智控,15.7
002130,沃尔核材,17.84
000953,河池化工,11.0
002539,新都化工,14.19
002355,兴民钢圈,17.38
000733,振华科技,19.49
