code,name,trade,buy,changepercent,open,high,low,volume,ticktime,turnoverratio
600423,柳化股份,8.65,8.65,10.051,8.15,8.65,8.15,16830788,10:42:55,4.21457
600528,中铁二局,13.16,13.16,10.033,13.16,13.16,13.16,470241,10:42:55,0.03223
600306,商业城,19.97,19.97,10.028,19.97,19.97,19.97,184226,10:42:55,0.10384
603999,读者传媒,24.93,24.93,10.018,24.93,24.93,24.93,40500,10:42:55,0.0675
603696,安记食品,28.34,28.34,10.016,28.34,28.34,28.34,45900,10:42:55,0.153
600777,新潮实业,14.28,14.28,10.015,14.28,14.28,14.28,59650,10:42:55,0.00954
600739,辽宁成大,23.18,23.18,10.014,23.18,23.18,22.9,141188944,10:42:55,10.34571
603936,博敏电子,22.64,22.64,10.01,22.64,22.64,22.64,29900,10:42:55,0.07145
600207,安彩高科,15.61,15.6,10.007,14.1,15.61,14.05,33874771,10:42:55,7.69881
600101,明星电力,15.95,15.95,10.0,15.95,15.95,15.95,8199522,10:42:55,2.52932
600195,中牧股份,20.79,20.79,10.0,20.79,20.79,20.79,177001,10:42:55,0.04118
603800,道森股份,27.95,27.95,9.996,27.95,27.95,27.95,52400,10:42:55,0.10077
603398,邦宝益智,39.2,39.2,9.989,39.2,39.2,39.2,18000,10:42:55,0.075
600718,东软集团,28.52,28.52,9.988,28.52,28.52,28.52,4164624,10:42:55,0.33925
600889,南京化纤,16.08,16.08,9.986,14.61,16.08,14.61,29271004,10:42:55,9.53238
600689,上海三毛,24.9,24.9,9.982,23.08,24.9,22.98,18234099,10:42:55,11.98003
600533,栖霞建设,7.72,7.72,9.972,7.58,7.72,7.31,87601991,10:42:55,8.34305
600117,西宁特钢,7.4,7.39,9.792,7.36,7.41,6.91,45635451,10:42:55,6.15681
600589,广东榕泰,14.79,14.79,8.59,13.5,14.98,13.46,40188057,10:42:55,6.67875
603318,派思股份,62.5,62.4,7.982,60.78,63.67,58.7,5640490,10:42:55,18.73917
600422,昆药集团,38.04,38.02,7.458,35.5,38.9,35.5,13191769,10:42:55,3.87479
600658,电子城,13.99,13.96,7.285,13.8,14.3,13.62,18676160,10:42:55,3.21949
600029,南方航空,8.69,8.69,7.152,8.3,8.92,8.3,270013523,10:42:55,3.8449
600016,民生银行,9.36,9.35,7.094,8.73,9.61,8.73,280035192,10:42:55,0.94761
600220,江苏阳光,6.36,6.36,6.533,6.03,6.39,5.97,123752298,10:42:55,6.93935
600649,城投控股,22.6,22.59,6.153,22.0,22.96,21.82,35964485,10:42:55,1.20382
