name,ticktime,price,volume,prev_price,kind
万孚生物,15:00:35,133.3,26005,133.3,E
沃施股份,15:00:35,67.41,47900,67.2,U
东杰智能,15:00:35,52.8,46100,52.8,E
蓝晓科技,15:00:35,71.0,33150,71.0,E
恒锋工具,15:00:35,100.9,43700,100.9,E
温氏股份,15:00:35,48.39,155700,48.38,E
赛升药业,15:00:32,173.0,47200,172.98,E
中飞股份,15:00:32,114.79,32800,114.85,D
神州泰岳,15:00:26,13.75,347056,13.75,E
南风股份,15:00:26,26.98,99400,26.98,E
汉威电子,15:00:26,32.49,223700,32.48,U
立思辰,15:00:26,35.35,496230,35.31,E
华测检测,15:00:26,27.75,138400,27.72,E
亿纬锂能,15:00:26,30.06,262100,30.05,E
爱尔眼科,15:00:26,33.6,106711,33.61,E
网宿科技,15:00:26,63.41,171500,63.39,E
大禹节水,15:00:26,17.65,214900,17.64,E
红日药业,15:00:26,19.69,94598,19.69,E
华谊兄弟,15:00:26,41.62,890000,41.62,E
天龙光电,15:00:26,15.71,197900,15.68,E
阳普医疗,15:00:26,21.39,309300,21.38,E
金龙机电,15:00:26,28.62,172000,28.62,E
同花顺,15:00:26,83.08,205400,83.05,E
中科电气,15:00:26,17.24,102300,17.25,D
九洲电气,15:00:26,13.57,253200,13.57,E
赛为智能,15:00:26,28.61,310500,28.6,E
中青宝,15:00:26,33.67,353700,33.66,E
欧比特,15:00:26,44.0,244867,44.0,U
万邦达,15:00:26,23.65,299058,23.65,E
三维丝,15:00:26,21.08,253920,21.08,E
安诺其,15:00:26,10.85,196000,10.85,E
南都电源,15:00:26,19.17,318550,19.16,E
华谊嘉信,15:00:26,15.7,919736,15.69,E
三聚环保,15:00:26,33.71,101399,33.7,U
GQY视讯,15:00:26,27.75,74400,27.74,E
国民技术,15:00:26,46.2,238850,46.18,E
海默科技,15:00:26,11.42,121300,11.42,U
银之杰,15:00:26,67.65,346864,67.66,E
康芝药业,15:00:26,15.99,229748,15.99,E
文化长城,15:00:26,37.97,129200,37.97,D
盛运环保,15:00:26,11.87,238400,11.87,E
金刚玻璃,15:00:26,38.92,359750,38.9,U
国联水产,15:00:26,28.6,219750,28.6,E
华伍股份,15:00:26,14.24,171000,14.19,E
易联众,15:00:26,27.25,397200,27.31,E
振芯科技,15:00:26,31.34,216405,31.31,E
建新股份,15:00:26,7.51,263000,7.51,U
嘉寓股份,15:00:26,13.78,261200,13.78,E
东方日升,15:00:26,14.99,234300,14.97,E
瑞普生物,15:00:26,20.31,86400,20.32,E
经纬电材,15:00:26,17.7,121500,17.65,U
智飞生物,15:00:26,38.15,72100,38.15,E
太阳鸟,15:00:26,16.48,245300,16.47,E
英唐智控,15:00:26,23.97,200386,23.99,E
华策影视,15:00:26,32.95,378400,32.94,E
信维通信,15:00:26,32.18,329352,32.26,E
汤臣倍健,15:00:26,34.6,346000,34.56,U
神雾环保,15:00:26,53.3,116158,53.31,E
先锋新材,15:00:26,13.77,372832,13.76,E
通源石油,15:00:26,10.5,110600,10.5,E
天瑞仪器,15:00:26,23.95,103400,23.95,E
东方国信,15:00:26,35.74,186000,35.7,E
迪威视讯,15:00:26,21.75,199900,21.75,E
东富龙,15:00:26,26.94,194300,26.94,E
中电环保,15:00:26,17.33,271847,17.32,E
智慧松德,15:00:26,18.82,1154730,18.8,E
元力股份,15:00:26,27.95,44598,27.95,E
鸿特精密,15:00:26,28.8,67500,28.79,E
腾邦国际,15:00:26,33.05,648952,32.99,E
四方达,15:00:26,9.64,545300,9.63,E
佐力药业,15:00:26,11.82,267030,11.82,E
东软载波,15:00:26,27.96,141114,27.95,E
美亚柏科,15:00:26,46.17,314400,46.17,E
维尔利,15:00:26,23.19,113700,23.18,E
佳士科技,15:00:26,13.93,490270,13.93,E
铁汉生态,15:00:26,17.9,488500,17.9,E
聚光科技,15:00:26,38.91,261400,38.89,E
理邦仪器,15:00:26,26.7,84800,26.66,E
欣旺达,15:00:26,28.45,204800,28.46,D
亿通科技,15:00:26,29.98,326000,29.97,E
易华录,15:00:26,50.88,139500,50.83,E
日科化学,15:00:26,10.14,382200,10.14,E
电科院,15:00:26,19.74,160300,19.72,E
千山药机,15:00:26,42.95,100700,42.95,E
银禧科技,15:00:26,12.79,149942,12.79,E
北京君正,15:00:26,36.27,78200,36.26,E
正海磁材,15:00:26,24.87,135049,24.87,E
光韵达,15:00:26,40.3,147300,40.26,E
银信科技,15:00:26,27.3,302030,27.29,E
金城医药,15:00:26,32.06,33200,32.06,U
明家科技,15:00:26,49.96,37700,49.65,E
天玑科技,15:00:26,35.22,220848,35.22,E
新开普,15:00:26,43.48,161850,43.48,E
卫宁软件,15:00:26,46.97,258300,46.97,E
仟源医药,15:00:26,32.17,141600,32.17,E
常山药业,15:00:26,18.15,129300,18.15,U
星星科技,15:00:26,27.4,152625,27.4,D
新天科技,15:00:26,13.27,422400,13.26,U
雅本化学,15:00:26,17.36,180430,17.35,E
尔康制药,15:00:26,34.51,72368,34.51,D
万福生科,15:00:26,31.89,178033,31.98,E
联建光电,15:00:26,30.6,164650,30.4,E
开能环保,15:00:26,23.15,81400,23.15,E
和佳股份,15:00:26,22.05,203800,22.02,E
阳光电源,15:00:26,28.12,919700,28.0,E
梅安森,15:00:26,28.83,65300,28.8,E
飞利信,15:00:26,19.05,513300,19.03,E
利德曼,15:00:26,19.8,158500,19.8,E
荣科科技,15:00:26,25.4,177500,25.4,E
蓝英装备,15:00:26,25.13,104823,25.12,E
博雅生物,15:00:26,41.04,48900,41.04,D
三六五网,15:00:26,55.09,57800,55.28,E
蓝盾股份,15:00:26,21.45,750984,21.44,E
三诺生物,15:00:26,36.74,41600,36.74,E
同有科技,15:00:26,82.29,36100,82.28,E
聚飞光电,15:00:26,10.94,203302,10.94,E
云意电气,15:00:26,26.75,76750,26.75,E
裕兴股份,15:00:26,30.77,98000,30.75,E
慈星股份,15:00:26,16.44,243376,16.45,E
中际装备,15:00:26,21.3,150161,21.26,E
戴维医疗,15:00:26,36.8,284418,36.7,E
掌趣科技,15:00:26,15.01,1998304,15.01,E
晶盛机电,15:00:26,15.16,280000,15.15,E
珈伟股份,15:00:26,27.69,158250,27.68,E
博晖创新,15:00:26,24.48,139600,24.48,E
麦捷科技,15:00:26,34.1,76100,34.0,E
海达股份,15:00:26,14.8,145792,14.79,E
硕贝德,15:00:26,20.43,218844,20.42,E
德威新材,15:00:26,18.88,85800,18.89,E
宜安科技,15:00:26,36.65,74400,36.62,E
津膜科技,15:00:26,25.89,133500,25.88,E
润和软件,15:00:26,54.53,70750,54.53,E
麦迪电气,15:00:26,24.27,94900,24.25,E
红宇新材,15:00:26,15.03,221560,15.04,E
炬华科技,15:00:26,34.51,121200,34.5,U
汇中股份,15:00:26,38.44,185592,38.35,E
扬杰科技,15:00:26,22.72,116300,22.7,E
鹏翎股份,15:00:26,23.87,229448,23.87,U
赢时胜,15:00:26,98.42,38300,98.43,E
鼎捷软件,15:00:26,65.49,97950,65.44,E
安硕信息,15:00:26,78.41,103010,78.4,E
飞天诚信,15:00:26,55.5,65000,55.49,E
天华超净,15:00:26,52.26,55803,52.32,E
腾信股份,15:00:26,45.35,146330,45.37,E
天孚通信,15:00:26,107.38,28700,107.28,U
飞凯材料,15:00:26,77.75,15300,77.75,D
博济医药,15:00:26,47.51,42100,47.51,U
九强生物,15:00:26,46.88,46100,46.85,E
迦南科技,15:00:26,49.3,43200,49.29,E
快乐购,15:00:26,45.18,105600,45.18,E
中光防雷,15:00:26,50.23,53900,50.23,D
博世科,15:00:26,50.15,24300,50.15,U
鲁亿通,15:00:26,54.83,38700,54.81,E
四通新材,15:00:26,61.32,33350,61.3,U
强力新材,15:00:26,149.35,29286,149.2,E
富临精工,15:00:26,27.85,63304,27.83,E
中泰股份,15:00:26,69.0,21800,68.99,U
鹏辉能源,15:00:26,123.41,20400,123.45,E
美康生物,15:00:26,42.09,45400,42.07,E
普丽盛,15:00:26,73.6,24800,73.6,D
双杰电气,15:00:26,32.5,176300,32.5,E
康斯特,15:00:26,62.11,35900,62.1,E
全信股份,15:00:26,126.22,29200,126.18,E
浩云科技,15:00:26,123.51,25000,123.76,E
汉邦高科,15:00:26,126.95,13000,126.98,E
先导智能,15:00:26,101.4,56900,101.4,E
山河药辅,15:00:26,118.7,25300,118.61,E
三鑫医疗,15:00:26,79.38,28700,79.38,D
赢合科技,15:00:26,73.35,46500,73.33,E
田中精机,15:00:26,67.99,72100,67.99,E
迅游科技,15:00:26,109.3,133650,109.63,E
信息发展,15:00:26,134.47,26900,134.45,U
德尔股份,15:00:26,102.45,85900,102.22,E
合纵科技,15:00:26,57.39,74800,57.38,U
杭州高新,15:00:26,71.52,75200,71.53,E
神思电子,15:00:26,108.0,27000,108.25,D
光力科技,15:00:26,68.78,76300,68.78,E
南  玻Ｂ,15:00:23,7.1,212400,7.1,U
长  安Ｂ,15:00:23,17.1,94279,17.22,D
特锐德,15:00:23,30.14,438288,30.11,E
乐普医疗,15:00:23,39.54,97800,39.53,E
探路者,15:00:23,23.58,227500,23.56,U
上海佳豪,15:00:23,26.72,65400,26.73,D
鼎汉技术,15:00:23,27.87,101000,27.86,E
中元华电,15:00:23,36.03,72900,36.01,U
硅宝科技,15:00:23,16.24,95098,16.24,E
吉峰农机,15:00:23,11.43,645600,11.43,E
机器人,15:00:23,73.71,330834,73.7,E
钢研高纳,15:00:23,27.48,179800,27.46,U
新宙邦,15:00:23,47.09,90800,47.09,D
上海凯宝,15:00:23,14.48,394300,14.48,E
回天新材,15:00:23,25.5,227700,25.48,U
朗科科技,15:00:23,47.02,50200,46.93,U
华力创通,15:00:23,24.75,572764,24.74,U
台基股份,15:00:23,24.68,170300,24.65,E
天源迪科,15:00:23,26.6,147709,26.6,E
世纪鼎利,15:00:23,39.57,65200,39.55,U
三五互联,15:00:23,24.0,340228,24.0,E
万顺股份,15:00:23,17.79,197100,17.79,E
蓝色光标,15:00:23,15.11,1508096,15.14,E
东方财富,15:00:23,59.38,757952,59.33,E
豫金刚石,15:00:23,14.41,201244,14.41,E
华平股份,15:00:23,15.51,320860,15.49,U
数字政通,15:00:23,32.6,275862,32.6,E
数码视讯,15:00:23,13.38,1845000,13.37,E
易成新能,15:00:23,10.75,303000,10.75,E
奥克股份,15:00:23,8.28,196200,8.26,E
荃银高科,15:00:23,11.8,274000,11.81,D
高新兴,15:00:23,19.36,1196000,19.36,E
双林股份,15:00:23,27.61,165740,27.63,E
乾照光电,15:00:23,9.58,540000,9.53,E
龙源技术,15:00:23,11.41,288402,11.41,E
西部牧业,15:00:23,20.12,130500,20.12,D
双龙股份,15:00:23,17.24,106200,17.24,D
向日葵,15:00:23,6.45,555400,6.44,E
万讯自控,15:00:23,20.6,194500,20.58,E
中航电测,15:00:23,48.0,35406,48.0,U
长盈精密,15:00:23,33.31,49400,33.31,U
坚瑞消防,15:00:23,10.85,230150,10.85,E
阳谷华泰,15:00:23,13.51,157600,13.52,D
汇川技术,15:00:23,46.88,122400,46.85,E
锐奇股份,15:00:23,18.94,165900,18.93,U
银河磁体,15:00:23,18.4,89783,18.4,U
锦富新材,15:00:23,25.16,289200,25.17,D
泰胜风能,15:00:23,9.37,253800,9.36,E
新国都,15:00:23,40.88,131100,40.88,U
大富科技,15:00:23,33.7,1070688,33.7,E
宝利国际,15:00:23,8.93,993736,8.9,E
先河环保,15:00:23,21.34,86600,21.31,E
晓程科技,15:00:23,18.23,96800,18.22,U
启源装备,15:00:23,26.68,458100,26.67,E
宋城演艺,15:00:23,31.0,409087,31.26,E
香雪制药,15:00:23,23.87,356000,23.87,E
世纪瑞尔,15:00:23,15.62,226097,15.61,E
昌红科技,15:00:23,22.31,616800,22.3,E
科融环境,15:00:23,12.27,497000,12.27,E
瑞凌股份,15:00:23,14.85,200500,14.83,E
安居宝,15:00:23,18.39,297585,18.39,E
恒泰艾普,15:00:23,12.41,194100,12.42,D
新研股份,15:00:23,15.62,285900,15.62,U
汉得信息,15:00:23,21.37,758300,21.37,E
朗源股份,15:00:23,12.3,351450,12.29,U
中海达,15:00:23,19.61,195600,19.6,U
捷成股份,15:00:23,24.19,239600,24.19,U
力源信息,15:00:23,19.11,189400,19.1,U
通裕重工,15:00:23,9.2,266300,9.2,U
永清环保,15:00:23,49.94,145300,49.9,E
神农基因,15:00:23,8.47,973504,8.46,E
潜能恒信,15:00:23,44.41,229100,44.39,E
长荣股份,15:00:23,24.9,163600,24.88,E
长海股份,15:00:23,33.82,50600,33.83,D
翰宇药业,15:00:23,26.5,146300,26.48,U
高盟新材,15:00:23,16.95,177900,16.89,E
海伦哲,15:00:23,20.36,204348,20.36,E
聚龙股份,15:00:23,37.1,194600,37.19,D
舒泰神,15:00:23,38.66,71915,38.61,U
天喻信息,15:00:23,23.57,390600,23.58,E
恒顺众昇,15:00:23,21.98,418200,21.97,E
佳讯飞鸿,15:00:23,40.69,54050,40.69,E
东方电热,15:00:23,15.11,208953,15.1,U
鸿利光电,15:00:23,15.25,361352,15.25,E
金力泰,15:00:23,8.75,339400,8.74,E
上海钢联,15:00:23,54.6,154000,54.56,E
拓尔思,15:00:23,35.29,259896,35.27,E
美晨科技,15:00:23,12.05,229400,12.04,E
东宝生物,15:00:23,17.5,91100,17.49,U
飞力达,15:00:23,21.36,168200,21.36,E
迪安诊断,15:00:23,73.2,45082,73.19,U
宝莱特,15:00:23,36.85,257100,36.81,U
依米康,15:00:23,28.48,70800,28.44,U
光线传媒,15:00:23,33.44,777600,33.5,E
金信诺,15:00:23,38.89,56800,38.89,E
开山股份,15:00:23,30.49,189800,30.5,D
新莱应材,15:00:23,33.36,69400,33.25,U
隆华节能,15:00:23,22.95,643852,22.87,U
佳创视讯,15:00:23,19.56,189875,19.53,E
兴源环境,15:00:23,53.3,110200,53.05,U
华宇软件,15:00:23,55.3,142369,55.23,U
三丰智能,15:00:23,27.6,305071,27.58,U
海联讯,15:00:23,47.91,173100,47.89,E
汇冠股份,15:00:23,34.12,70900,34.11,E
苏交科,15:00:23,22.95,160272,22.89,U
安科瑞,15:00:23,33.77,42100,33.82,D
华录百纳,15:00:23,40.96,79600,40.95,U
利亚德,15:00:23,24.22,141200,24.22,E
汉鼎股份,15:00:23,30.29,164800,30.27,U
长方照明,15:00:23,9.45,443573,9.42,E
吉艾科技,15:00:23,23.53,327000,23.52,E
任子行,15:00:23,42.58,189900,42.53,U
邦讯技术,15:00:23,48.51,160000,48.56,E
同大股份,15:00:23,112.07,18305,112.07,D
